AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	A S/6	A S/6/LABEL	A S/6/ID	CT/1	CT/1/LABEL	CT/1/ID												
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Naive B Cell			CD20+, IgD++	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z	AS-CT, CT-B						
spleen	spleen	UBERON:0002107	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Memory-Like B Cell			CD20+, CD27+, IgD+/-, IgM+	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z	AS-CT, CT-B						
spleen	spleen	UBERON:0002108	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	NOT FOUND	NOT FOUND	Sheathed Capillary	NOT FOUND	NOT FOUND				Switched B Cell			CD20+, Ig(G/A)+	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z	AS-CT, CT-B						
spleen	spleen	UBERON:0002108	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Venous Sinus	spleen venous sinus	UBERON:0009967	Venous sinus basement membrane	NOT FOUND	NOT FOUND				Ring Fibers			Collagen IV, Collagen XVII, CollagenXVIII, Laminin (basement membrane)		1	Galfiova, Paulina & Varga, Ivan & Kopáni, Martin & Michalka, Peter & Michalková, Jana & Jakubovský, Ján & Polák, Štefan. (2009). Some possibilities of representing microcirculation in human spleen. Biologia. 64. 1242-1246. 10.2478/s11756-009-0193-5. 	http://dx.doi.org/10.2478/s11756-009-0193-5	AS-CT, CT-B	Apaja-Sarkkinen M, Alavaikko M, Karttunen T, Autio-Harmainen H. Basement membrane proteins in the spleen: immunohistochemical demonstration and relation to reticulin. Histopathology. 1986 Mar;10(3):295-302. doi: 10.1111/j.1365-2559.1986.tb02483.x. PMID: 3516841.	https://doi.org/10.1111/j.1365-2559.1986.tb02483.x	AS-CT, B			
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Venous Sinus	spleen venous sinus	UBERON:0009967	Venous Sinus Lining	NOT FOUND	NOT FOUND				Littoral Cell			CD3-, CD8a+, CD14-, CD31+, CD34-, CD45-, CD21-, CD141+, CD163+, CD172a+, CD202b+, CD206+, CD234+, FHOD1+, LYVE-1+, VEGFR-3+, vWF+	ACKR1, CD8A, FHOD1, PECAM1, VWF (Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Steiniger, B.S. (2015), Human spleen microanatomy: why mice do not suffice. Immunology, 145: 334-346. https://doi.org/10.1111/imm.12469	https://doi.org/10.1111/imm.12469		Jiajing Qiu, Xiaoli Wang, Mohamed E Salama, Ronald Hoffman; Characterization and Isolation of Splenic Littoral Cells, a Possible Cellular Niche for Extramedullary Hematopoiesis in Myelofibrosis. Blood 2015; 126 (23): 3594. doi: https://doi.org/10.1182/blood.V126.23.3594.3594	https://doi.org/10.1182/blood.V126.23.3594.3594				
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Venous Sinus	spleen venous sinus	UBERON:0009967	Stroma	NOT FOUND	NOT FOUND				Stromal Cell	generic stromal cell found , but NOT FOUND for spleen (YES for many other organs)		CD54+, CXCL12+,  IL-6+		1	Ellyard, J., Avery, D., Mackay, C. and Tangye, S. (2005), Contribution of stromal cells to the migration, function and retention of plasma cells in human spleen: potential roles of CXCL12, IL‐6 and CD54. Eur. J. Immunol., 35: 699-708. https://doi.org/10.1002/eji.200425442	https://doi.org/10.1002/eji.200425442							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	Splenic vein	UBERON:0001638							Blood Endothelial Cells	endothelial cell of venous sinus of red pulp of spleen		CD34+, CD141+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Steiniger B, Stachniss V, Schwarzbach H, Barth PJ. Phenotypic differences between red pulp capillary and sinusoidal endothelia help localizing the open splenic circulation in humans. Histochem Cell Biol. 2007 Nov;128(5):391-8. doi: 10.1007/s00418-007-0320-8. Epub 2007 Sep 12. PMID: 17849140.	DOI: 10.1007/s00418-007-0320-8							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Red pulp vasculature	Splenic venules	NOT FOUND							Blood Endothelial Cells	endothelial cell of venous sinus of red pulp of spleen		CD34+, CD141+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)	1	Steiniger B, Stachniss V, Schwarzbach H, Barth PJ. Phenotypic differences between red pulp capillary and sinusoidal endothelia help localizing the open splenic circulation in humans. Histochem Cell Biol. 2007 Nov;128(5):391-8. doi: 10.1007/s00418-007-0320-8. Epub 2007 Sep 12. PMID: 17849140.	DOI: 10.1007/s00418-007-0320-8							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Red Pulp Macrophage	splenic red pulp macrophage		CD68+, CD163+	APOE, CD5L (General macrophage signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)		Sietse et al., 2018	https://doi.org/10.1182/bloodadvances.2017015008				
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Monocytes	monocyte		CD11b+, CD14++, CD16+/-	CD14, FCN1, VCAN (General monocyte signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Sietse et al., 2018	https://doi.org/10.1182/bloodadvances.2017015008	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Erythrocytes	erythrocyte		CD235a+		1	Steiniger et al., 1997	https://doi.org/10.1046/j.1365-2567.1997.00328.x	AS-CT	Klei et al., 2020	https://ashpublications.org/blood/article/136/14/1579/461780/Hemolysis-in-the-spleen-drives-erythrocyte	CT-B			
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Aged Erythrocytes			CD44+, CD235a+, Lu/BCAM+ 		1	Klei et al., 2020	https://ashpublications.org/blood/article/136/14/1579/461780/Hemolysis-in-the-spleen-drives-erythrocyte	CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							B cell	B cell		CD20+	CD19, CD79A, MS4A1 (General B signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							CD8+ T Cell			CD3+, CD4-, CD8+	CD3E, CD4, CD8A (General T signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Memory CD8+ T Cell			CD3+, CD4-, CD8+, CD45RA- 	CD3E, CD4, CD8A (General T signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Lewis et al., 2019	10.1126/sciimmunol.aau6085	AS						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Plasma Cell	plasma cell		CD11a+, CD20-, CD27+, CD38++, CD79a+, CD138+, CXCR4+,  Ig++, IRF4+	IGHG1, IGHM, JCHAIN, SDC1, XBP1 (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS	Ellyard et al., 2005	DOI 10.1002/eji.200425442	CT-B			
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Plasmablast			CD20+/-, CD27+, CD38++, CD79a+, CD138+, CXCR4+,  Ig++, IRF4+	IGHG1, IGHM, JCHAIN, SDC1, XBP1 (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Dendritic Cell			CD11c+, HLA-DR+		1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Platelets	platelet		CD42b+	GP9, PF4 (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Heyns et al., 1985	https://doi.org/10.1046/j.1537-2995.1985.25385219900.x	AS						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							NK Cell			CD16+, CD56+/-, NKp30+, NKp48+,Perforin+	CD160, FCGR3A, NCAM1, NCR1 (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)	1	Ferlazzo et al., 2004	https://www.jimmunol.org/content/172/3/1455#:~:text=We%20have%20characterized%20human%20NK,%2Dlike%20receptors%20(KIRs).	CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Stromal Cell (non-FRC/non-FDC)			CD271-, MAdCAM-1+,  Smooth Muscle Actin+		1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp	red pulp of spleen	UBERON:0001250	Splenic Cord	splenic cord	UBERON:0001266							Red Pulp Reticular Cell 			CXCL12+, Desmin+, ER-TR7+, ICAM1+, Integrin a3,a4,a5,b1+, PDGFRa/b+		1	Steiniger et al., 2015	https://doi.org/10.1111/imm.12469	AS-CT, CT-B	Mueller, S. N., & Germain, R. N. (2009). Stromal cell contributions to the homeostasis and functionality of the immune system. Nature reviews. Immunology, 9(9), 618–629.	https://doi.org/10.1038/nri2588				
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone 	spleen perifollicular zone	UBERON:0005353							Erythrocytes	erythrocyte		CD235a+			Steiniger et al., 1997	https://doi.org/10.1046/j.1365-2567.1997.00328.x	AS-CT	Klei et al., 2020	https://ashpublications.org/blood/article/136/14/1579/461780/Hemolysis-in-the-spleen-drives-erythrocyte	CT-B			
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Monocytes	monocyte		CD11b+, CD14++, CD16+/-	CD14, FCN1, VCAN (General monocyte signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)		Sietse et al., 2018	https://doi.org/10.1182/bloodadvances.2017015008	AS-CT, CT-B	Wolf et at., 2019	https://doi.org/10.3389/fimmu.2019.01642				
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Neutrophil 	granulocyte		CD15+, CD66+, Elastase+, Myeloperoxidase+			Puga et al., 2012	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3262910/	AS-CT, CT-B	Margi et al., 2014	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4005806/	AS-CT, CT-B			
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Macrophage			CD68+, CD163+, CD169+, CD206+/-, DC-SIGN+/-	APOE, CD5L (General macrophage signature, Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)		O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)		Steiniger et al., 1997	https://doi.org/10.1046/j.1365-2567.1997.00328.x	AS-CT, CT-B	Pack et al., 2008	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2567.2007.02710.x	AS-CT, CT-B
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353	Sheathed Capillary	NOT FOUND	NOT FOUND				Stromal Cell			CD90+, CD105+, CD169+			Steiniger et al., 2014	https://doi.org/10.1007/s00418-013-1172-z							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Dendritic Cells-cDC1			CD11c+, CD141++, HLA-DR+	CLEC9A, XCR1 (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)		Mittag et al., 2011	https://www.jimmunol.org/content/186/11/6207	CT-B	Steiniger et al., 1997	https://doi.org/10.1046/j.1365-2567.1997.00328.x	AS-CT			
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Dendritic Cells-cDC2			CD1c+, CD11c+, HLA-DR+, SIRPa+	CD1C, CLEC10A (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)		Mittag et al., 2011	https://www.jimmunol.org/content/186/11/6207	CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Monocyte-Derived DC			CD11c+, CD16+, HLA-DR+			Mittag et al., 2011	https://www.jimmunol.org/content/186/11/6207	CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							Plasmacytoid Dendritic Cell			CD11c-, CD304+, HLA-DR+	CLEC4C, IL3RA (Madissoon et al., 2020 https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1906-x#Sec12)		Mittag et al., 2011	https://www.jimmunol.org/content/186/11/6207	CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	Red Pulp-White Pulp Border	NOT FOUND	NOT FOUND	Perifollicular Zone	spleen perifollicular zone	UBERON:0005353							DEC205+ DC			CD11c+, CD74+, DEC205+, HLA-DR+			Pack et al., 2008	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2567.2007.02710.x							
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	White Pulp	white pulp of spleen	UBERON:0001959	Central arteries	NOT FOUND	UBERON:0005353							Blood Endothelial Cells			CD31+, CD34+	CD34, PECAM1, VWF (General splenic vasculature endothelial cell signature, Qiu et al., 2017 DOI 10.1182/ bloodadvances.2017015073)		Steiniger et al., 2015 	https://doi.org/10.1111/imm.12469	AS-CT, CT-B						
spleen	spleen	UBERON:0002106	Splenic Pulp	spleen pulp	UBERON:1000023	White Pulp	white pulp of spleen	UBERON:0001959	Lymphatic Vessel	NOT FOUND	UBERON:0005353							Lymphatic Endothelium Cell	endothelial cell of lymphatic vessel		CD31+, D2-40H+, Lyve-1++, Podoplanin+, Prox-1++, vWF+/-, Ulex++			Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2005	https://doi.org/10.1369/jhc.4A6514.2005		Garrafa E, Trainini L, Benetti A, Saba E, Fezzardi L, Lorusso B, Borghetti P, Bottio T, Ceri E, Portolani N, Bonardlli S, Giulini SM, Annibale G, Corradi A, Imberti L, Caruso A. Isolation, purification, and heterogeneity of human lymphatic endothelial cells from different tissues. Lymphology. 2005 Dec;38(4):159-66. PMID: 16515224.	CT-B				
