Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References	Table
UBERON:0007177	lamina propria of mucosa of colon	lamina propria	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318	Large_intestine
UBERON:0012398	large intestine smooth muscle circular layer	circular muscle layer	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029	Large_intestine
UBERON:0011189	lamina propria of large intestine	lamina propria	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	DOI:10.1111/j.1440-1827.1989.tb02421.x|DOI:10.1034/j.1600-065x.2003.00072.x|PMID:2618659|PMID:12969318	Large_intestine
UBERON:0012375	subserosa	subserosa	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
UBERON:0005742	adventitia	adventitia	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
UBERON:0002384	connective tissue	fibroconnective tissue	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
UBERON:0009687	middle cardiac vein	middle cardiac vein	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:2705		Heart
UBERON:0002439	myenteric nerve plexus	myenteric plexus of Auerbach	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029	Large_intestine
UBERON:0035422	circumflex branch of left coronary artery	left circumflex artery	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0005438	coronary sinus	coronary sinus	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0003331	submucosa of colon	submucosa	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
UBERON:0035374	small cardiac vein	small cardiac vein	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0002348	epicardium	Epicardium	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0002049	vasculature	vasculature	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0004927	submucosa of cecum	submucosa	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
UBERON:0012399	large intestine smooth muscle longitudinal layer	longitudinal muscle layer	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	DOI:10.1007/978-1-4939-0897-4_3|PMID:24997029	Large_intestine
UBERON:0007178	muscularis mucosae of colon	muscularis mucosa	CL:0000057	fibroblast	fibroblast	HGNC:2211, HGNC:2212, HGNC:2211, HGNC:2212	NoDOI	Large_intestine
UBERON:0001625	right coronary artery	right coronary artery	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0006958	great cardiac vein	great cardiac vein	CL:0000057	fibroblast	fibroblast	HGNC:8803, HGNC:4620, HGNC:2705		Heart
UBERON:0009980	condyle of femur	Distal Femur	CL:0000062	osteoblast	osteoblast	HGNC:2197, HGNC:5341		Knee
UBERON:0002506	iris epithelium	iris epithelium	CL:0000066	epithelial cell	epithelial cell	HGNC:633, HGNC:637, HGNC:800	DOI:10.3390/cell7110210	Eye
UBERON:8410041	venule of lymph node	Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:8823, HGNC:1764, HGNC:3763, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:3763, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:8410034	lymph node artery	Lymphatic Artery	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:4279, HGNC:5344, HGNC:29602, HGNC:9459	DOI:10.1007/s00441-008-0706-5|delaPazNG,D'AmorePA|Arterialversusvenousendothelialcells|CellTissueRes|2009Jan;3351:5-16|doi:10|1007/s00441-008-0706-5|Epub2008Oct30|PMID:18972135;PMCID:PMC4105978|	Lymph_node
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662	DOI:10.1369/jhc.4A6514.2005|PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:0001591	thymic vein	thymic vein	CL:0000071	blood vessel endothelial cell	blood endothelial cell	HGNC:7, HGNC:633, HGNC:6722, HGNC:5397, HGNC:7899, HGNC:13635, HGNC:9844, HGNC:10044, HGNC:11220, HGNC:11853, HGNC:8823	DOI:10.1126/science.aay3224|DOI:10.1080/01926230600865549|PearseG|Normalstructure,functionandhistologyofthethymus|ToxicolPathol|2006;34(5):504-14|doi:10|1080/01926230600865549|PMID:17067941|	Thymus
UBERON:8410035	medullary arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:0002066	umbilical vein	umbilical vein	CL:0000071	blood vessel endothelial cell	vascular endothelial cells	HGNC:6934, HGNC:12726, HGNC:8823	PMID:8804361|doi:10.1155/2021/6662201|doi:10.1093/humrep/dem265|doi:10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2|DOI:10.1093/oxfordjournals.humrep.a136040|doi.org/10.1371/journal.pone.0169849|doi.org/10.1371/journal.pone.0169849|PMID:8804361	Placenta
UBERON:8410036	medullary venule of lymph node	Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:8410041	venule of lymph node	Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|NoDOI|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|NoDOI|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:8410033	lymph node vein	Hilar Vein	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:1689, HGNC:3349, HGNC:1764, HGNC:16041, HGNC:5344, HGNC:29602, HGNC:9459	DOI:10.1007/s00441-008-0706-5|delaPazNG,D'AmorePA|Arterialversusvenousendothelialcells|CellTissueRes|2009Jan;3351:5-16|doi:10|1007/s00441-008-0706-5|Epub2008Oct30|PMID:18972135;PMCID:PMC4105978|	Lymph_node
UBERON:0018243	thymic artery	thymic artery	CL:0000071	blood vessel endothelial cell	blood endothelial cell	HGNC:7, HGNC:633, HGNC:6722, HGNC:5397, HGNC:7899, HGNC:13635, HGNC:9844, HGNC:10044, HGNC:11220, HGNC:11853, HGNC:8823	DOI:10.1126/science.aay3224|DOI:10.1080/01926230600865549|PearseG|Normalstructure,functionandhistologyofthethymus|ToxicolPathol|2006;34(5):504-14|doi:10|1080/01926230600865549|PMID:17067941|	Thymus
UBERON:0001310	umbilical artery	umbilical arteries	CL:0000071	blood vessel endothelial cell	vascular endothelial cells	HGNC:6934, HGNC:12726, HGNC:8823	PMID:8804361|doi:10.1155/2021/6662201|doi:10.1093/humrep/dem265|doi:10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2|DOI:10.1093/oxfordjournals.humrep.a136040|doi.org/10.1371/journal.pone.0169849|doi.org/10.1371/journal.pone.0169849|PMID:8804361	Placenta
UBERON:8410038	high endothelial venule of lymph node	High Endothelial Venule	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:6012, HGNC:2203, HGNC:29909, HGNC:130	DOI:10.1038/nri32982012.|GirardJP,MoussionC,FörsterR|HEVs,lymphaticsandhomeostaticimmunecelltraffickinginlymphnodes|NatRevImmunol|2012Nov;1211:762-73|doi:10|1038/nri3298|Epub2012Sep28|PMID:23018291|	Lymph_node
UBERON:8410042	arteriole of lymph node	Arteriole	CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	HGNC:1527, HGNC:10612, HGNC:1662, HGNC:1697, HGNC:1641, HGNC:30455, HGNC:4035, HGNC:16041, HGNC:17474, HGNC:5344, HGNC:14686, HGNC:4947, HGNC:4948, HGNC:4938, HGNC:4940, HGNC:6895, HGNC:13635, HGNC:9707, HGNC:11220, HGNC:8823, HGNC:1662, HGNC:3349, HGNC:1764, HGNC:29602, HGNC:9459	DOI:10.1371/journal.pone.0094781|DOI:10.1369/jhc.4A6514.2005|ParkSM,AngelCE,McIntoshJD,MansellC,ChenCJ,CebonJ,DunbarPR|Mappingthedistinctivepopulationsoflymphaticendothelialcellsindifferentzonesofhumanlymphnodes|PLoSOne|2014Apr14;94:e94781|doi:10|1371/journal|pone|0094781|Erratumin:PLoSOne|2014;98:e106814|Mansell,ClaudiaM[correctedtoMansell,ClaudiaJ]|PMID:24733110;PMCID:PMC3986404||PusztaszeriMP,SeelentagW,BosmanFT|ImmunohistochemicalexpressionofendothelialmarkersCD31,CD34,vonWillebrandfactor,andFli-1innormalhumantissues|JHistochemCytochem|2006Apr;544:385-95|doi:10|1369/jhc|4A6514|2005|Epub2005Oct18|PMID:16234507|	Lymph_node
UBERON:0002348	epicardium	Epicardium	CL:0000071	blood vessel endothelial cell	endothelial cell	HGNC:8823, HGNC:12726, HGNC:1764		Heart
UBERON:0009687	middle cardiac vein	middle cardiac vein	CL:0000071	blood vessel endothelial cell	smooth muscle cell	HGNC:7569, HGNC:11553, HGNC:130		Heart
UBERON:0002049	vasculature	vasculature	CL:0000071	blood vessel endothelial cell	endothelial cell	HGNC:8823, HGNC:12726, HGNC:1764		Heart
UBERON:0006958	great cardiac vein	great cardiac vein	CL:0000071	blood vessel endothelial cell	smooth muscle cell	HGNC:7569, HGNC:11553, HGNC:130		Heart
UBERON:0002137	Aortic valve	Aortic valve	CL:0000071	blood vessel endothelial cell	endothelial cell	HGNC:8823, HGNC:12726, HGNC:1764		Heart
UBERON:0004058	biliary ductule	bile duct/ule	CL:0000075	columnar/cuboidal epithelial cell	columnar cell ( larger cholangiocytes are more columnar) has ciliae	HGNC:1884	DOI:10.3748/wjg.v12.i22.3523	Liver
UBERON:0002348	epicardium	Epicardium	CL:0000077	mesothelial cell	mesothelial cell	HGNC:1455, HGNC:11027, HGNC:11029, HGNC:12796		Heart
UBERON:0000017	exocrine pancreas	Exocrine pancreas	CL:0000084	T cell	T lymphocyte	HGNC:1674, HGNC:1706, HGNC:1678, HGNC:9666		Pancreas
UBERON:0000006	islet of Langerhans	Islet of Langerhans	CL:0000084	T cell	T lymphocyte	HGNC:1674, HGNC:1706, HGNC:1678, HGNC:9666		Pancreas
UBERON:0009745	lymph node medullary cord	Medullary Cord	CL:0000084	T Cell	T Cell	HGNC:1673, HGNC:1678, HGNC:1706, HGNC:1675, HGNC:1678	NoDOI	Lymph_node
UBERON:0001281	hepatic sinusoid	hepatic sinusoid	CL:0000091	Kupffer Cell	Kupffer cell	HGNC:1693, HGNC:1693	DOI:10.1016/j.jhep.2010.04.037	Liver
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000094	neutrophil	neutrophil	HGNC:2439, HGNC:2433, HGNC:3620, HGNC:1603, HGNC:3620	doi:10.3390/ijms21030851	Lung
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	CL:0000096	mature neutrophil	neutrophil (normally intravascular only)	HGNC:4015, HGNC:3619, HGNC:4015, HGNC:3619	DOI:10.1016/j.immuni.2020.02.001|PMID:32160523PMCID:PMC7155934	Large_intestine
UBERON:0009745	lymph node medullary cord	Medullary Cord	CL:0000097	mast cell	Mast Cell	HGNC:6342, HGNC:14120, HGNC:12019, HGNC:7316, HGNC:6342, HGNC:12019	DOI:10.1016/j.iac.2014.01.005|DOI:10.1016/j.beha.2010.07.003.|DOI:10.3389/fimmu.2020.01234|HornyHP,SotlarK,ValentP|Mastocytosis:immunophenotypicalfeaturesofthetransformedmastcellsareuniqueamonghematopoieticcells|ImmunolAllergyClinNorthAm|2014May;342:315-21|doi:10|1016/j|iac|2014|01|005|PMID:24745676;PMCID:PMC5798580||ValentP,Cerny-ReitererS,HerrmannH,MirkinaI,GeorgeTI,SotlarK,SperrWR,HornyHP|Phenotypicheterogeneity,noveldiagnosticmarkers,andtargetexpressionprofilesinnormalandneoplastichumanmastcells|BestPractResClinHaematol|2010Sep;233:369-78|doi:10|1016/j|beha|2010|07|003|Epub2010Aug12|PMID:21112036||PalS,NathS,MeiningerCJ,GashevAA|EmergingRolesofMastCellsintheRegulationofLymphaticImmuno-Physiology|FrontImmunol|2020Jun17;11:1234|doi:10|3389/fimmu|2020|01234|PMID:32625213;PMCID:PMC7311670|	Lymph_node
UBERON:8410075	lymph node paracortical cord	Paracortical Cord	CL:0000097	mast cell	Mast Cell	HGNC:6342, HGNC:7316, HGNC:12019, HGNC:14120, HGNC:6342, HGNC:12019	DOI:10.1016/j.iac.2014.01.005|DOI:10.1016/j.beha.2010.07.003.|DOI:10.3389/fimmu.2020.01234|HornyHP,SotlarK,ValentP|Mastocytosis:immunophenotypicalfeaturesofthetransformedmastcellsareuniqueamonghematopoieticcells|ImmunolAllergyClinNorthAm|2014May;342:315-21|doi:10|1016/j|iac|2014|01|005|PMID:24745676;PMCID:PMC5798580||ValentP,Cerny-ReitererS,HerrmannH,MirkinaI,GeorgeTI,SotlarK,SperrWR,HornyHP|Phenotypicheterogeneity,noveldiagnosticmarkers,andtargetexpressionprofilesinnormalandneoplastichumanmastcells|BestPractResClinHaematol|2010Sep;233:369-78|doi:10|1016/j|beha|2010|07|003|Epub2010Aug12|PMID:21112036||PalS,NathS,MeiningerCJ,GashevAA|EmergingRolesofMastCellsintheRegulationofLymphaticImmuno-Physiology|FrontImmunol|2020Jun17;11:1234|doi:10|3389/fimmu|2020|01234|PMID:32625213;PMCID:PMC7311670|	Lymph_node
UBERON:0002371	Bone marrow	Bone marrow	CL:0000097	mast cell	mast cell	HGNC:4855, HGNC:2014, HGNC:2298, HGNC:6017, HGNC:4171, HGNC:7317, HGNC:17890, HGNC:12019, HGNC:6342, HGNC:6017, HGNC:6024, HGNC:3609		Bone-Marrow
UBERON:0002067	dermis	Dermis	CL:0000097	mast cell	Mast cell	HGNC:3358, HGNC:6342, HGNC:1604	DOI:10.1016/S1081-1206(10)62853-0|DOI:10.1111/imr.12639|NoDOI|DOI:10.1159/000053694.|PMID:10582733||PMID:29431209||PMID:7682764|PMID:11306952	Skin
UBERON:0001961	mucosa-associated lymphoid tissue	dermal skin-associated lymphoid tissue	CL:0000097	mast cell	mast cell	HGNC:6342, HGNC:10922, HGNC:6342, HGNC:10922	NoDOI	Large_intestine
UBERON:0002072	hypodermis	Subcutaneous	CL:0000097	mast cell	Mast cell	HGNC:3358, HGNC:6342, HGNC:1604	DOI:10.1016/S1081-1206(10)62853-0|DOI:10.1111/imr.12639.||DOI:10.1159/000053694|PMID:10582733||PMID:29431209||PMID:7682764|PMID:11306952	Skin
UBERON:0001962	gut-associated lymphoid tissue	gut associated lymphoid tissue (GALT)/lamina propria	CL:0000097	mast cell	mast cell	HGNC:6342, HGNC:10922, HGNC:6342, HGNC:10922	DOI:10.1016/j.immuni.2020.02.001|PMID:32160523PMCID:PMC7155934	Large_intestine
UBERON:0004791	thymus trabecula	thymus trabecula	CL:0000097	mast cell	mast cell	HGNC:2298, HGNC:4171, HGNC:21041, HGNC:17890, HGNC:5998, HGNC:6644, HGNC:248, HGNC:11925, HGNC:12019, HGNC:14120	DOI:10.1097/00000478-199003000-00010|DOI:10.1126/science.aay3224	Thymus
