Cell type	Cell type label	Behavior	Behavior label
CL:0000540	neuron	GO:0021788	chemoattraction of branchiomotor neuron axon in neural tube
CL:0000540	neuron	GO:0099703	induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration
CL:0000649	prickle cell	GO:0042886	amide transport
CL:0000815	regulatory T cell	GO:0002682	regulation of immune system process
CL:0001071	group 3 innate lymphoid cell	GO:0040011	locomotion
CL:0000312	keratinocyte	GO:0050896	response to stimulus
CL:0000242	Merkel cell	GO:0051179	localization
CL:0000540	neuron	GO:0051610	serotonin uptake
CL:0000775	neutrophil	GO:0051179	localization
CL:0002337	keratinocyte stem cell	GO:0090022	regulation of neutrophil chemotaxis
CL:0000545	T-helper 1 cell	GO:0002443	leukocyte mediated immunity
CL:0000771	eosinophil	GO:0032501	multicellular organismal process
CL:0000242	Merkel cell	GO:0009607	response to biotic stimulus
CL:0001006	dermal dendritic cell	GO:0051179	localization
CL:0000097	mast cell	GO:0009987	cellular process
CL:0000540	neuron	GO:0097492	sympathetic neuron axon guidance
CL:0001069	group 2 innate lymphoid cell	GO:0010467	gene expression
CL:0001006	dermal dendritic cell	GO:0002694	regulation of leukocyte activation
CL:0002337	keratinocyte stem cell	GO:0030335	positive regulation of cell migration
CL:0000910	cytotoxic T cell	GO:0051674	localization of cell
CL:0000242	Merkel cell	GO:0051234	establishment of localization
CL:0002337	keratinocyte stem cell	GO:0002775	antimicrobial peptide production
CL:0000623	natural killer cell	GO:0051674	localization of cell
CL:0000646	basal cell	GO:0030154	cell differentiation
CL:0000910	cytotoxic T cell	GO:0043316	cytotoxic T cell degranulation
CL:0000649	prickle cell	GO:0071705	nitrogen compound transport
CL:0001069	group 2 innate lymphoid cell	GO:0009605	response to external stimulus
CL:0001006	dermal dendritic cell	GO:0001816	cytokine production
CL:0000649	prickle cell	GO:0006955	immune response
CL:0000540	neuron	GO:0150044	regulation of postsynaptic dense core vesicle exocytosis
CL:0000540	neuron	GO:1905415	positive regulation of dense core granule exocytosis
CL:0000097	mast cell	GO:0032879	regulation of localization
CL:0001067	group 1 innate lymphoid cell	GO:0006928	movement of cell or subcellular component
CL:0000540	neuron	GO:0021787	chemorepulsion of branchiomotor neuron axon in neural tube
CL:0000312	keratinocyte	GO:0006810	transport
CL:0002337	keratinocyte stem cell	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
CL:0000151	secretory cell	GO:0032762	mast cell cytokine production
CL:0000242	Merkel cell	GO:0071622	regulation of granulocyte chemotaxis
CL:0000649	prickle cell	GO:1902622	regulation of neutrophil migration
CL:0000097	mast cell	GO:0030203	glycosaminoglycan metabolic process
CL:0000540	neuron	GO:0008090	retrograde axonal transport
CL:0001006	dermal dendritic cell	GO:0051674	localization of cell
CL:0000771	eosinophil	GO:0048870	cell motility
CL:0000242	Merkel cell	GO:1902624	positive regulation of neutrophil migration
CL:0000540	neuron	GO:0060096	serotonin secretion, neurotransmission
CL:0002337	keratinocyte stem cell	GO:2000147	positive regulation of cell motility
CL:0002337	keratinocyte stem cell	GO:0051272	positive regulation of cellular component movement
CL:0000540	neuron	GO:0150007	clathrin-dependent synaptic vesicle endocytosis
CL:0000540	neuron	GO:0099069	synaptic vesicle tethering involved in synaptic vesicle exocytosis
CL:0000235	macrophage	GO:0006810	transport
CL:0000786	plasma cell	GO:0048870	cell motility
CL:0000242	Merkel cell	GO:0071705	nitrogen compound transport
CL:0000151	secretory cell	GO:0051179	localization
CL:0000236	B cell	GO:0002451	peripheral B cell tolerance induction
CL:0000312	keratinocyte	GO:0043207	response to external biotic stimulus
CL:0000242	Merkel cell	GO:0019730	antimicrobial humoral response
CL:0000312	keratinocyte	GO:0051707	response to other organism
CL:0000097	mast cell	GO:0002684	positive regulation of immune system process
CL:0000242	Merkel cell	GO:0008152	metabolic process
CL:0000151	secretory cell	GO:0036517	chemoattraction of serotonergic neuron axon
CL:0000097	mast cell	GO:0048583	regulation of response to stimulus
CL:0000097	mast cell	GO:0006024	glycosaminoglycan biosynthetic process
CL:0000236	B cell	GO:0001783	B cell apoptotic process
CL:0001067	group 1 innate lymphoid cell	GO:0006952	defense response
CL:0000097	mast cell	GO:0050921	positive regulation of chemotaxis
CL:0000097	mast cell	GO:0033369	establishment of protein localization to mast cell secretory granule
CL:0000540	neuron	GO:0099575	regulation of protein catabolic process at presynapse, modulating synaptic transmission
CL:0000545	T-helper 1 cell	GO:0009987	cellular process
CL:0000910	cytotoxic T cell	GO:0002250	adaptive immune response
CL:0000540	neuron	GO:1905413	regulation of dense core granule exocytosis
CL:0000312	keratinocyte	GO:2000145	regulation of cell motility
CL:0001006	dermal dendritic cell	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0000236	B cell	GO:0002376	immune system process
CL:0000910	cytotoxic T cell	GO:0002449	lymphocyte mediated immunity
CL:0000540	neuron	GO:0032501	multicellular organismal process
CL:0000540	neuron	GO:0061537	glycine secretion, neurotransmission
CL:0000649	prickle cell	GO:0040012	regulation of locomotion
CL:0000649	prickle cell	GO:0030334	regulation of cell migration
CL:0002337	keratinocyte stem cell	GO:0002690	positive regulation of leukocyte chemotaxis
CL:0002337	keratinocyte stem cell	GO:0050789	regulation of biological process
CL:0000540	neuron	GO:0099171	presynaptic modulation of chemical synaptic transmission
CL:0000649	prickle cell	GO:0032879	regulation of localization
CL:0000312	keratinocyte	GO:0006952	defense response
CL:0000312	keratinocyte	GO:0048584	positive regulation of response to stimulus
CL:0000097	mast cell	GO:0002682	regulation of immune system process
CL:0000540	neuron	GO:0036517	chemoattraction of serotonergic neuron axon
CL:0000815	regulatory T cell	GO:0001667	ameboidal-type cell migration
CL:0002337	keratinocyte stem cell	GO:0015833	peptide transport
CL:0002337	keratinocyte stem cell	GO:0010467	gene expression
CL:0000649	prickle cell	GO:0071704	organic substance metabolic process
CL:0000312	keratinocyte	GO:0032103	positive regulation of response to external stimulus
CL:0000623	natural killer cell	GO:0043320	natural killer cell degranulation
CL:0002337	keratinocyte stem cell	GO:0009605	response to external stimulus
CL:0000242	Merkel cell	GO:0040012	regulation of locomotion
CL:0002457	epidermal Langerhans cell	GO:2000026	regulation of multicellular organismal development
CL:0000242	Merkel cell	GO:0030334	regulation of cell migration
CL:0000097	mast cell	GO:0048522	positive regulation of cellular process
CL:0000623	natural killer cell	GO:0006950	response to stress
CL:0000771	eosinophil	GO:0008150	biological_process
CL:0000545	T-helper 1 cell	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0002830	positive regulation of type 2 immune response
CL:0000540	neuron	GO:1905055	calcium:cation antiporter activity involved in regulation of presynaptic cytosolic calcium ion concentration
CL:0000623	natural killer cell	GO:0002376	immune system process
CL:0000540	neuron	GO:0036483	neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
CL:0000540	neuron	GO:1990793	substance P secretion, neurotransmission
CL:0000649	prickle cell	GO:0002684	positive regulation of immune system process
CL:0002457	epidermal Langerhans cell	GO:0001667	ameboidal-type cell migration
CL:0002337	keratinocyte stem cell	GO:0051301	cell division
CL:0000623	natural killer cell	GO:0071704	organic substance metabolic process
CL:0002337	keratinocyte stem cell	GO:0071624	positive regulation of granulocyte chemotaxis
CL:0000540	neuron	GO:0005335	serotonin:sodium symporter activity
CL:0000649	prickle cell	GO:0050921	positive regulation of chemotaxis
CL:0000623	natural killer cell	GO:0065007	biological regulation
CL:0000540	neuron	GO:0097473	retinal rod cell apoptotic process
CL:0000236	B cell	GO:0002515	B cell anergy
CL:0000236	B cell	GO:0002421	B cell antigen processing and presentation following pinocytosis
CL:0000540	neuron	GO:0021973	corticospinal neuron axon decussation
CL:0000151	secretory cell	GO:0036515	serotonergic neuron axon guidance
CL:0000649	prickle cell	GO:0046903	secretion
CL:0000649	prickle cell	GO:0002440	production of molecular mediator of immune response
CL:0000235	macrophage	GO:0006928	movement of cell or subcellular component
CL:0000540	neuron	GO:0099635	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels
CL:0002337	keratinocyte stem cell	GO:0002685	regulation of leukocyte migration
CL:0002337	keratinocyte stem cell	GO:0008150	biological_process
CL:0002337	keratinocyte stem cell	GO:0006959	humoral immune response
CL:0000649	prickle cell	GO:0051270	regulation of cellular component movement
CL:0000775	neutrophil	GO:0016477	cell migration
CL:0000540	neuron	GO:0061544	peptide secretion, neurotransmission
CL:0001067	group 1 innate lymphoid cell	GO:0002519	natural killer cell tolerance induction
CL:0001006	dermal dendritic cell	GO:0071704	organic substance metabolic process
CL:0000236	B cell	GO:0002450	B cell antigen processing and presentation
CL:0001067	group 1 innate lymphoid cell	GO:0010467	gene expression
CL:0000649	prickle cell	GO:0002682	regulation of immune system process
CL:0000312	keratinocyte	GO:0090022	regulation of neutrophil chemotaxis
CL:0000540	neuron	GO:1905414	negative regulation of dense core granule exocytosis
CL:0000235	macrophage	GO:0010931	macrophage tolerance induction
CL:0000815	regulatory T cell	GO:0048870	cell motility
CL:0001067	group 1 innate lymphoid cell	GO:0009605	response to external stimulus
CL:0000649	prickle cell	GO:0071702	organic substance transport
CL:0000545	T-helper 1 cell	GO:0043170	macromolecule metabolic process
CL:0000545	T-helper 1 cell	GO:0051179	localization
CL:0000242	Merkel cell	GO:0048518	positive regulation of biological process
CL:0000623	natural killer cell	GO:0048583	regulation of response to stimulus
CL:0002337	keratinocyte stem cell	GO:0017145	stem cell division
CL:0001071	group 3 innate lymphoid cell	GO:0001667	ameboidal-type cell migration
CL:0000540	neuron	GO:0099525	presynaptic dense core vesicle exocytosis
CL:0000545	T-helper 1 cell	GO:0001816	cytokine production
CL:0000242	Merkel cell	GO:0046903	secretion
CL:0000623	natural killer cell	GO:0009987	cellular process
CL:0000242	Merkel cell	GO:0002440	production of molecular mediator of immune response
CL:0000540	neuron	GO:0036515	serotonergic neuron axon guidance
CL:0000236	B cell	GO:0071948	activation-induced B cell apoptotic process
CL:0002457	epidermal Langerhans cell	GO:0019882	antigen processing and presentation
CL:0000649	prickle cell	GO:0048522	positive regulation of cellular process
CL:0000623	natural killer cell	GO:0002682	regulation of immune system process
CL:0000786	plasma cell	GO:0008150	biological_process
CL:0000115	endothelial cell	GO:0072577	endothelial cell apoptotic process
CL:0000242	Merkel cell	GO:0051270	regulation of cellular component movement
CL:0000151	secretory cell	GO:0033373	maintenance of protease location in mast cell secretory granule
CL:0000312	keratinocyte	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
CL:0000236	B cell	GO:0001667	ameboidal-type cell migration
CL:0000540	neuron	GO:0031629	synaptic vesicle fusion to presynaptic active zone membrane
CL:0000115	endothelial cell	GO:0097700	vascular endothelial cell response to laminar fluid shear stress
CL:0001069	group 2 innate lymphoid cell	GO:0008150	biological_process
CL:0000242	Merkel cell	GO:0071702	organic substance transport
CL:0000312	keratinocyte	GO:2000147	positive regulation of cell motility
CL:0000312	keratinocyte	GO:0051272	positive regulation of cellular component movement
CL:0001071	group 3 innate lymphoid cell	GO:0032501	multicellular organismal process
CL:0000910	cytotoxic T cell	GO:0002376	immune system process
CL:0001067	group 1 innate lymphoid cell	GO:0008150	biological_process
CL:0000649	prickle cell	GO:0002790	peptide secretion
CL:0001006	dermal dendritic cell	GO:0045619	regulation of lymphocyte differentiation
CL:0000097	mast cell	GO:0051234	establishment of localization
CL:0000815	regulatory T cell	GO:0016477	cell migration
CL:0000540	neuron	GO:0061670	evoked neurotransmitter secretion
CL:0000097	mast cell	GO:0001667	ameboidal-type cell migration
CL:0000115	endothelial cell	GO:0097699	vascular endothelial cell response to fluid shear stress
CL:0000815	regulatory T cell	GO:0040011	locomotion
CL:0000775	neutrophil	GO:0040011	locomotion
CL:0000097	mast cell	GO:0006023	aminoglycan biosynthetic process
CL:0002337	keratinocyte stem cell	GO:0006950	response to stress
CL:0002457	epidermal Langerhans cell	GO:0010467	gene expression
CL:0000236	B cell	GO:0001769	establishment of B cell polarity
CL:0000540	neuron	GO:0036465	synaptic vesicle recycling
CL:0000545	T-helper 1 cell	GO:0006955	immune response
CL:0000312	keratinocyte	GO:0030335	positive regulation of cell migration
CL:0000312	keratinocyte	GO:0002775	antimicrobial peptide production
CL:0000545	T-helper 1 cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000235	macrophage	GO:0010934	macrophage cytokine production
CL:0001071	group 3 innate lymphoid cell	GO:0048870	cell motility
CL:0000097	mast cell	GO:0030334	regulation of cell migration
CL:0002337	keratinocyte stem cell	GO:0050794	regulation of cellular process
CL:0000151	secretory cell	GO:0046903	secretion
CL:0002457	epidermal Langerhans cell	GO:0032501	multicellular organismal process
CL:0000242	Merkel cell	GO:0002790	peptide secretion
CL:0000540	neuron	GO:0061540	octopamine secretion, neurotransmission
CL:0000312	keratinocyte	GO:0002690	positive regulation of leukocyte chemotaxis
CL:0000540	neuron	GO:0036519	chemorepulsion of serotonergic neuron axon
CL:0000815	regulatory T cell	GO:0008150	biological_process
CL:0000312	keratinocyte	GO:0050789	regulation of biological process
CL:0000236	B cell	GO:0002341	central B cell anergy
CL:0002337	keratinocyte stem cell	GO:0002688	regulation of leukocyte chemotaxis
CL:0002337	keratinocyte stem cell	GO:0043207	response to external biotic stimulus
CL:0000236	B cell	GO:0048870	cell motility
CL:0000235	macrophage	GO:0016192	vesicle-mediated transport
CL:0000540	neuron	GO:0015842	aminergic neurotransmitter loading into synaptic vesicle
CL:0000097	mast cell	GO:0009058	biosynthetic process
CL:0000242	Merkel cell	GO:0002776	antimicrobial peptide secretion
CL:0000540	neuron	GO:0019226	transmission of nerve impulse
CL:0000540	neuron	GO:0099113	negative regulation of presynaptic cytosolic calcium concentration
CL:0000540	neuron	GO:0016182	synaptic vesicle budding from endosome
CL:0000097	mast cell	GO:0008152	metabolic process
CL:0000545	T-helper 1 cell	GO:0051674	localization of cell
CL:0000540	neuron	GO:0071678	olfactory bulb axon guidance
CL:0000235	macrophage	GO:0031268	pseudopodium organization
CL:0000151	secretory cell	GO:1903210	podocyte apoptotic process
CL:0000312	keratinocyte	GO:0010467	gene expression
CL:0001069	group 2 innate lymphoid cell	GO:0006950	response to stress
CL:0001069	group 2 innate lymphoid cell	GO:0009987	cellular process
CL:0002337	keratinocyte stem cell	GO:0002687	positive regulation of leukocyte migration
CL:0002457	epidermal Langerhans cell	GO:0048870	cell motility
CL:0000540	neuron	GO:0048491	retrograde synaptic vesicle transport
CL:0000312	keratinocyte	GO:0009605	response to external stimulus
CL:0001069	group 2 innate lymphoid cell	GO:0002376	immune system process
CL:0000540	neuron	GO:0061538	histamine secretion, neurotransmission
CL:0000151	secretory cell	GO:0002555	histamine secretion by platelet
CL:0002457	epidermal Langerhans cell	GO:0051239	regulation of multicellular organismal process
CL:0000649	prickle cell	GO:0051234	establishment of localization
CL:0000623	natural killer cell	GO:0051179	localization
CL:0000540	neuron	GO:0008038	neuron recognition
CL:0000097	mast cell	GO:0051608	histamine transport
CL:0000540	neuron	GO:0036475	neuron death in response to oxidative stress
CL:0000540	neuron	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane
CL:0000097	mast cell	GO:0001821	histamine secretion
CL:0000815	regulatory T cell	GO:0050896	response to stimulus
CL:0002337	keratinocyte stem cell	GO:0009987	cellular process
CL:0000151	secretory cell	GO:0033369	establishment of protein localization to mast cell secretory granule
CL:0000623	natural killer cell	GO:0001816	cytokine production
CL:0001006	dermal dendritic cell	GO:0002376	immune system process
CL:0000151	secretory cell	GO:0036519	chemorepulsion of serotonergic neuron axon
CL:0001006	dermal dendritic cell	GO:0002682	regulation of immune system process
CL:0000115	endothelial cell	GO:1902354	blood vessel endothelial cell delamination involved in blood vessel lumen ensheathment
CL:0000540	neuron	GO:0071911	synchronous neurotransmitter secretion
CL:0000623	natural killer cell	GO:0009607	response to biotic stimulus
CL:0001069	group 2 innate lymphoid cell	GO:0001816	cytokine production
CL:0000540	neuron	GO:0098882	structural constituent of presynaptic active zone
CL:0000623	natural killer cell	GO:0045087	innate immune response
CL:0000649	prickle cell	GO:0071622	regulation of granulocyte chemotaxis
CL:0000151	secretory cell	GO:0002554	serotonin secretion by platelet
CL:0000540	neuron	GO:0099539	neuropeptide secretion from presynapse
CL:0000540	neuron	GO:0060121	vestibular receptor cell stereocilium organization
CL:0000771	eosinophil	GO:0006928	movement of cell or subcellular component
CL:0000236	B cell	GO:0016477	cell migration
CL:0000097	mast cell	GO:0051270	regulation of cellular component movement
CL:0000097	mast cell	GO:0071705	nitrogen compound transport
CL:0002457	epidermal Langerhans cell	GO:0045580	regulation of T cell differentiation
CL:0001067	group 1 innate lymphoid cell	GO:0043207	response to external biotic stimulus
CL:0000623	natural killer cell	GO:0001667	ameboidal-type cell migration
CL:0000236	B cell	GO:0040011	locomotion
CL:0000786	plasma cell	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0002645	positive regulation of tolerance induction
CL:0000312	keratinocyte	GO:0002685	regulation of leukocyte migration
CL:0000312	keratinocyte	GO:0008150	biological_process
CL:0000097	mast cell	GO:1901564	organonitrogen compound metabolic process
CL:0000649	prickle cell	GO:0032101	regulation of response to external stimulus
CL:0000312	keratinocyte	GO:0006959	humoral immune response
CL:0000540	neuron	GO:1905741	calcium export from the mitochondrion involved in positive regulation of presynaptic cytosolic calcium concentration
CL:0001071	group 3 innate lymphoid cell	GO:0008150	biological_process
CL:0000540	neuron	GO:0098963	dendritic transport of messenger ribonucleoprotein complex
CL:0001069	group 2 innate lymphoid cell	GO:0006928	movement of cell or subcellular component
CL:0000242	Merkel cell	GO:0006952	defense response
CL:0000545	T-helper 1 cell	GO:0002250	adaptive immune response
CL:0000242	Merkel cell	GO:0048584	positive regulation of response to stimulus
CL:0002337	keratinocyte stem cell	GO:0043170	macromolecule metabolic process
CL:0002337	keratinocyte stem cell	GO:0065007	biological regulation
CL:0000545	T-helper 1 cell	GO:0002449	lymphocyte mediated immunity
CL:0000235	macrophage	GO:0008150	biological_process
CL:0000097	mast cell	GO:0016477	cell migration
CL:0000649	prickle cell	GO:0008152	metabolic process
CL:0000097	mast cell	GO:0040011	locomotion
CL:0000540	neuron	GO:0140247	protein catabolic process at presynapse
CL:0000235	macrophage	GO:0071840	cellular component organization or biogenesis
CL:0002337	keratinocyte stem cell	GO:0048869	cellular developmental process
CL:0000242	Merkel cell	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
CL:0000242	Merkel cell	GO:0032103	positive regulation of response to external stimulus
CL:0000623	natural killer cell	GO:0006955	immune response
CL:0000540	neuron	GO:0016057	regulation of membrane potential in photoreceptor cell
CL:0000910	cytotoxic T cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000540	neuron	GO:0098961	dendritic transport of ribonucleoprotein complex
CL:0000235	macrophage	GO:0030030	cell projection organization
CL:0000623	natural killer cell	GO:0008152	metabolic process
CL:0000235	macrophage	GO:0002472	macrophage antigen processing and presentation
CL:0002457	epidermal Langerhans cell	GO:0008150	biological_process
CL:0000097	mast cell	GO:0048518	positive regulation of biological process
CL:0001067	group 1 innate lymphoid cell	GO:0043320	natural killer cell degranulation
CL:0001071	group 3 innate lymphoid cell	GO:0050896	response to stimulus
CL:0000910	cytotoxic T cell	GO:0016477	cell migration
CL:0000623	natural killer cell	GO:0016477	cell migration
CL:0000771	eosinophil	GO:0003008	system process
CL:0000540	neuron	GO:0051936	gamma-aminobutyric acid reuptake
CL:0001067	group 1 innate lymphoid cell	GO:0006950	response to stress
CL:0000097	mast cell	GO:0140352	export from cell
CL:0000540	neuron	GO:0016081	synaptic vesicle docking
CL:0000097	mast cell	GO:0051239	regulation of multicellular organismal process
CL:0000815	regulatory T cell	GO:0002456	T cell mediated immunity
CL:0000649	prickle cell	GO:1902624	positive regulation of neutrophil migration
CL:0001069	group 2 innate lymphoid cell	GO:0043170	macromolecule metabolic process
CL:0000236	B cell	GO:0002454	peripheral B cell deletion
CL:0000115	endothelial cell	GO:0097497	blood vessel endothelial cell delamination
