/usr/local/lib/python3.8/dist-packages/rdflib_jsonld/__init__.py:9: DeprecationWarning: The rdflib-jsonld package has been integrated into rdflib as of rdflib==6.0.1.  Please remove rdflib-jsonld from your project's dependencies.
  warnings.warn(
WARNING - No valid ID provided for '', label: capsule mesenchymal stromal cell, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 2, user_label: 
WARNING - No valid ID provided for '', label: Descending Thin Limb Cell Type 2, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 1, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 2, user_label: 
WARNING - No valid ID provided for '', label: descending thin limb of loop of Henle 3, user_label: 
WARNING - No valid ID provided for '', label: Transitional principal-intercalated cell, user_label: 
WARNING - No valid ID provided for '', label: Endothelium/Juxtaglomerular apparatus, user_label: 
WARNING - No valid ID provided for '', label: Endothelium (non glomerular), user_label: 
WARNING - No valid ID provided for '', label: Vascular Smooth Muscle Cell, user_label: 
WARNING - No valid ID provided for '', label: Immune, user_label: 
WARNING - No valid ID provided for '', label: Monocyte Derived Cell, user_label: 
WARNING - No valid ID provided for '', label: Immune, user_label: 
WARNING - No valid ID provided for '', label: Papillary Tip Epithelium, user_label: 
WARNING - Unrecognised UBERON/CL entity 'CL:4030018'
WARNING - Unrecognised UBERON/CL entity 'CL:4030013'
WARNING - Unrecognised UBERON/CL entity 'CL:4030019'
WARNING - Unrecognised UBERON/CL entity 'CL:4030016'
WARNING - Unrecognised UBERON/CL entity 'CL:4030014'
WARNING - Unrecognised UBERON/CL entity 'CL:4030017'
WARNING - Unrecognised UBERON/CL entity 'CL:4030015'
WARNING - Unrecognised UBERON/CL entity 'CL:4030021'
WARNING - Unrecognised UBERON/CL entity 'CL:4030020'
WARNING - Unrecognised UBERON/CL entity 'CL:4030009'
WARNING - Unrecognised UBERON/CL entity 'CL:4030010'
WARNING - Unrecognised UBERON/CL entity 'CL:4030012'
WARNING - Unrecognised UBERON/CL entity 'CL:4030011'
WARNING - Unrecognised UBERON/CL entity 'CL:4030022'
WARNING - Different labels found for UBERON:0001231. Uberongraph: nephron tubule ; ASCT+b table: Tubules
WARNING - Different labels found for CL:0000990. Uberongraph: conventional dendritic cell ; ASCT+b table: Dendritic Cell (classical)
WARNING - Different labels found for UBERON:0005750. Uberongraph: glomerular parietal epithelium ; ASCT+b table: parietal epithelial layer
WARNING - Different labels found for CL:1000715. Uberongraph: kidney cortex collecting duct intercalated cell ; ASCT+b table: Cortical Collecting Duct Intercalated Cell Type A
WARNING - Different labels found for CL:0001056. Uberongraph: dendritic cell, human ; ASCT+b table: Dendritic Cell (general)
WARNING - Different labels found for CL:1001111. Uberongraph: kidney loop of Henle thin descending limb epithelial cell ; ASCT+b table: Descending Thin Limb Cell
WARNING - Different labels found for CL:1001285. Uberongraph: vasa recta descending limb cell ; ASCT+b table: Descending Vasa Recta Endothelial Cell
WARNING - Different labels found for CL:1000849. Uberongraph: kidney distal convoluted tubule epithelial cell ; ASCT+b table: Distal Convoluted Tubule Cell
WARNING - Different labels found for UBERON:0001291. Uberongraph: thick ascending limb of loop of Henle ; ASCT+b table: Loop of Henle (Thick Limb/Medulla)
WARNING - Different labels found for CL:0002138. Uberongraph: endothelial cell of lymphatic vessel ; ASCT+b table: Lymphatic Endothelial Cell
WARNING - Different labels found for CL:1000714. Uberongraph: kidney cortex collecting duct principal cell ; ASCT+b table: Cortical Collecting Duct Principal Cell
WARNING - Different labels found for CL:1000717. Uberongraph: kidney outer medulla collecting duct intercalated cell ; ASCT+b table: Outer Medullary Collecting Duct Intercalated Cell Type A
WARNING - Different labels found for UBERON:0001292. Uberongraph: distal convoluted tubule ; ASCT+b table: Distal Convolution
WARNING - Different labels found for CL:1001106. Uberongraph: kidney loop of Henle thick ascending limb epithelial cell ; ASCT+b table: Thick Ascending Limb Cell
WARNING - Different labels found for UBERON:0004204. Uberongraph: outer medullary collecting duct ; ASCT+b table: Collecting Duct (Outer Medulla)
WARNING - Different labels found for UBERON:0004640. Uberongraph: renal efferent arteriole ; ASCT+b table: Efferent Arteriole
WARNING - Different labels found for UBERON:0001232. Uberongraph: collecting duct of renal tubule ; ASCT+b table: Tubules
WARNING - Different labels found for CL:1001107. Uberongraph: kidney loop of Henle thin ascending limb epithelial cell ; ASCT+b table: Ascending Thin Limb Cell
WARNING - Different labels found for UBERON:0009091. Uberongraph: vasa recta ascending limb ; ASCT+b table: Ascending Vasa Recta
WARNING - Different labels found for CL:1001096. Uberongraph: kidney afferent arteriole endothelial cell ; ASCT+b table: Afferent Arteriole Endothelial Cell
WARNING - Different labels found for CL:0000814. Uberongraph: mature NK T cell ; ASCT+b table: Natural Killer T Cell
WARNING - Different labels found for UBERON:0001986. Uberongraph: endothelium ; ASCT+b table: Endothelium (non glomerular)
WARNING - Different labels found for CL:1000742. Uberongraph: glomerular mesangial cell ; ASCT+b table: Mesangial Cell
WARNING - Different labels found for UBERON:0005215. Uberongraph: kidney interstitium ; ASCT+b table: Interstitium
WARNING - Different labels found for CL:1000692. Uberongraph: kidney interstitial fibroblast ; ASCT+b table: Fibroblast
WARNING - Different labels found for CL:1001318. Uberongraph: renal interstitial pericyte ; ASCT+b table: Vascular Smooth Muscle Cell/Pericyte (general)
WARNING - Different labels found for UBERON:0006544. Uberongraph: kidney vasculature ; ASCT+b table: Vessels
WARNING - Different labels found for UBERON:0003918. Uberongraph: kidney mesenchyme ; ASCT+b table: Stroma (non glomerular)
WARNING - Different labels found for CL:1001109. Uberongraph: kidney loop of Henle cortical thick ascending limb epithelial cell ; ASCT+b table: Cortical Thick Ascending Limb Cell
WARNING - Different labels found for UBERON:0004193. Uberongraph: loop of Henle ascending limb thin segment ; ASCT+b table: Loop of Henle (Thin Limb)
WARNING - Different labels found for UBERON:0004200. Uberongraph: kidney pyramid ; ASCT+b table: renal pyramid
WARNING - Different labels found for CL:0000653. Uberongraph: glomerular visceral epithelial cell ; ASCT+b table: Podocyte
WARNING - Different labels found for UBERON:0002042. Uberongraph: lymphatic vessel endothelium ; ASCT+b table: lymphatics
WARNING - Different labels found for CL:1000718. Uberongraph: kidney inner medulla collecting duct principal cell ; ASCT+b table: Inner Medullary Collecting Duct Cell
WARNING - Different labels found for UBERON:0001289. Uberongraph: descending limb of loop of Henle ; ASCT+b table: Loop of Henle (Thin Limb)
WARNING - Different labels found for UBERON:0005096. Uberongraph: descending thin limb ; ASCT+b table: descending thin limb of loop of Henle
WARNING - Different labels found for CL:0002201. Uberongraph: renal beta-intercalated cell ; ASCT+b table: Intercalated Cell Type B
WARNING - Different labels found for CL:0002306. Uberongraph: epithelial cell of proximal tubule ; ASCT+b table: Proximal Tubule Epithelial Cell
WARNING - Different labels found for UBERON:0006852. Uberongraph: obsolete glomerular visceral epithelium ; ASCT+b table: visceral epithelial layer
WARNING - Different labels found for CL:1001131. Uberongraph: vasa recta ascending limb cell ; ASCT+b table: Ascending Vasa Recta Endothelial Cell
