/usr/local/lib/python3.8/dist-packages/rdflib_jsonld/__init__.py:9: DeprecationWarning: The rdflib-jsonld package has been integrated into rdflib as of rdflib==6.0.1.  Please remove rdflib-jsonld from your project's dependencies.
  warnings.warn(
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: M cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: plasma, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: CD4+ T, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: regulatory CD4+ T, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: CD8+ T, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: eosinophil, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: neutrophil, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: natural killer (NK) cell, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: dendritic cell (DC), user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: innate lyphoid cell (ILC), user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: nerves, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: endoethlial, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: lymphatic, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: nerve, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: muscle, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: mesothelial, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: fibroblasts, user_label: 
WARNING - No valid ID provided for 'FMA:7206', label: superior duodenum, user_label: superior part of duodenum
WARNING - No valid ID provided for '', label: endothelial cells, user_label: 
WARNING - No valid ID provided for 'FMA:14928', label: descending duodenum, user_label: descending part of duodenum
WARNING - No valid ID provided for 'FMA:14929', label: inferior duodenum, user_label: horizontal part of duodenum
WARNING - No valid ID provided for 'FMA:14930', label: ascending duodenum, user_label: ascending part of duodenum
WARNING - No valid ID provided for '', label: epithelial stem cells, user_label: 
WARNING - No valid ID provided for '', label: Paneth, user_label: 
WARNING - No valid ID provided for '', label: endocrine, user_label: 
WARNING - No valid ID provided for '', label: absorptive, user_label: 
WARNING - No valid ID provided for '', label: enterocytes, user_label: 
WARNING - No valid ID provided for '', label: Tuft cells, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: endothelial, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: lymphatics, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: myofibroblasts, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: fibroblasts, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: nerves, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: M cell, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: plasma, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: CD4+ T, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: regulatory CD4+ T, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: CD8+ T, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: macrophages, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: eosinophils, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: mast cells, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: neutrophils, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: NK cells, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: DCs, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: ILCs, user_label: 
WARNING - No valid ID provided for '', label: muscle, user_label: 
WARNING - No valid ID provided for '', label: nerves, user_label: 
WARNING - No valid ID provided for '', label: endoethlial, user_label: 
WARNING - No valid ID provided for '', label: lymphatic, user_label: 
WARNING - No valid ID provided for '', label: nerves, user_label: 
WARNING - No valid ID provided for '', label: muscle, user_label: 
WARNING - No valid ID provided for '', label: Interstitial cells of Cajal, user_label: 
WARNING - No valid ID provided for '', label: fibroblasts, user_label: 
WARNING - No valid ID provided for '', label: endothelial, user_label: 
WARNING - No valid ID provided for '', label: nerves, user_label: 
WARNING - No valid ID provided for '', label: myenteric plexus of Auerbach, user_label: myenteric nerve plexus of small intestine
WARNING - No valid ID provided for '', label: nerves, user_label: 
WARNING - No valid ID provided for '', label: myenteric plexus of Auerbach, user_label: myenteric nerve plexus of small intestine
WARNING - No valid ID provided for '', label: muscle, user_label: 
WARNING - No valid ID provided for '', label: mesothelial, user_label: 
WARNING - No valid ID provided for '', label: connective tissue, user_label: 
WARNING - No valid ID provided for '', label: fibroblasts, user_label: 
WARNING - No valid ID provided for '', label: connective tissue, user_label: 
WARNING - No valid ID provided for '', label: endothelial cells, user_label: 
WARNING - No valid ID provided for '', label: Epithelium, user_label: 
WARNING - No valid ID provided for '', label: Lamina propria/Gut associated lymphoid tissue (GALT), user_label: 
WARNING - No valid ID provided for '', label: muscularis mucosa, user_label: 
WARNING - No valid ID provided for '', label: submucosa, user_label: 
WARNING - No valid ID provided for '', label: submucosal plexus of Meissner, user_label: 
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for '', label: serosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: mucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: submucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: submucosa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - No valid ID provided for '', label: muscularis externa, user_label: 
WARNING - No valid ID provided for 'FMA:14966', label: terminal ileum, user_label: distal part of ileum
WARNING - Different labels found for CL:1000325. Uberongraph: jejunal goblet cell ; ASCT+b table: goblet
WARNING - Different labels found for UBERON:0003332. Uberongraph: submucosa of duodenum ; ASCT+b table: submucosa
WARNING - Different labels found for UBERON:0016519. Uberongraph: muscularis mucosae of jejunum ; ASCT+b table: muscularis mucosa
WARNING - Different labels found for UBERON:0004946. Uberongraph: submucosa of ileum ; ASCT+b table: submucosa
WARNING - Different labels found for UBERON:8410000. Uberongraph: duodeno-jejunal junction ; ASCT+b table: duodenojejunal flexure
WARNING - Different labels found for UBERON:0003337. Uberongraph: serosa of jejunum ; ASCT+b table: serosa
WARNING - Different labels found for UBERON:0000399. Uberongraph: jejunal mucosa ; ASCT+b table: mucosa
WARNING - Different labels found for UBERON:0000331. Uberongraph: ileal mucosa ; ASCT+b table: mucosa
WARNING - Different labels found for UBERON:0015834. Uberongraph: duodenum lamina propria ; ASCT+b table: Lamina propria/Gut associated lymphoid tissue (GALT)
WARNING - Different labels found for UBERON:0012494. Uberongraph: muscularis mucosae of duodenum ; ASCT+b table: muscularis mucosa
WARNING - Different labels found for UBERON:0008346. Uberongraph: duodenal epithelium ; ASCT+b table: Epithelium
WARNING - Different labels found for UBERON:0003333. Uberongraph: submucosa of jejunum ; ASCT+b table: submucosa
WARNING - Different labels found for UBERON:0000320. Uberongraph: duodenal mucosa ; ASCT+b table: mucosa
WARNING - Different labels found for UBERON:0000400. Uberongraph: jejunal epithelium ; ASCT+b table: Epithelium
WARNING - Different labels found for UBERON:8410064. Uberongraph: submucous nerve plexus of small intestine ; ASCT+b table: submucosal plexus of Meissner submucosal plexus (Meissners plexus, plexus of the submucosa, plexus submucosus)
WARNING - Different labels found for UBERON:0012377. Uberongraph: muscle layer of jejunum ; ASCT+b table: muscularis externa
WARNING - Different labels found for CL:1000324. Uberongraph: duodenal goblet cell ; ASCT+b table: goblet cell
WARNING - Different labels found for CL:1000344. Uberongraph: paneth cell of epithelium proper of small intestine ; ASCT+b table: Paneth cell
