Cell type	Cell type label	Behavior	Behavior label
CL:0000653	glomerular visceral epithelial cell	GO:0008150	biological_process
CL:0000875	non-classical monocyte	GO:0016477	cell migration
CL:0000775	neutrophil	GO:0043312	neutrophil degranulation
CL:0000236	B cell	GO:0002516	B cell deletion
CL:0000814	mature NK T cell	GO:0002443	leukocyte mediated immunity
CL:0000623	natural killer cell	GO:0016477	cell migration
CL:0000097	mast cell	GO:0051272	positive regulation of cellular component movement
CL:0001058	plasmacytoid dendritic cell, human	GO:0050865	regulation of cell activation
CL:0000653	glomerular visceral epithelial cell	GO:0051234	establishment of localization
CL:0000623	natural killer cell	GO:0002228	natural killer cell mediated immunity
CL:0000990	conventional dendritic cell	GO:0001816	cytokine production
CL:0000084	T cell	GO:0070242	thymocyte apoptotic process
CL:1000698	kidney resident macrophage	GO:0051234	establishment of localization
CL:0000084	T cell	GO:0008150	biological_process
CL:0000084	T cell	GO:0002870	T cell anergy
CL:0000084	T cell	GO:0033371	T cell secretory granule organization
CL:0000097	mast cell	GO:0050778	positive regulation of immune response
CL:0000115	endothelial cell	GO:0072577	endothelial cell apoptotic process
CL:0001056	dendritic cell, human	GO:0051674	localization of cell
CL:0000910	cytotoxic T cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0002830	positive regulation of type 2 immune response
CL:0000990	conventional dendritic cell	GO:0009987	cellular process
CL:0000623	natural killer cell	GO:0048583	regulation of response to stimulus
CL:0000814	mature NK T cell	GO:0004888	transmembrane signaling receptor activity
CL:0000084	T cell	GO:1902483	cytotoxic T cell pyroptotic process
CL:0000990	conventional dendritic cell	GO:0006928	movement of cell or subcellular component
CL:0000990	conventional dendritic cell	GO:0050863	regulation of T cell activation
CL:0001058	plasmacytoid dendritic cell, human	GO:0002682	regulation of immune system process
CL:0000910	cytotoxic T cell	GO:0008150	biological_process
CL:0000084	T cell	GO:0033381	establishment of granzyme B localization to T cell secretory granule
CL:0000653	glomerular visceral epithelial cell	GO:0051179	localization
CL:0000084	T cell	GO:0002517	T cell tolerance induction
CL:0000648	kidney granular cell	GO:0071692	protein localization to extracellular region
CL:0000875	non-classical monocyte	GO:0045321	leukocyte activation
CL:1000698	kidney resident macrophage	GO:0051179	localization
CL:0000653	glomerular visceral epithelial cell	GO:0032940	secretion by cell
CL:0000097	mast cell	GO:0002539	prostaglandin production involved in inflammatory response
CL:0000875	non-classical monocyte	GO:0001667	ameboidal-type cell migration
CL:0000576	monocyte	GO:0030154	cell differentiation
CL:0000653	glomerular visceral epithelial cell	GO:1903210	podocyte apoptotic process
CL:0000084	T cell	GO:0051179	localization
CL:0000648	kidney granular cell	GO:0003071	renal system process involved in regulation of systemic arterial blood pressure
CL:0000236	B cell	GO:0002252	immune effector process
CL:0000990	conventional dendritic cell	GO:0008152	metabolic process
CL:0000097	mast cell	GO:0032501	multicellular organismal process
CL:0000576	monocyte	GO:0097028	dendritic cell differentiation
CL:0000648	kidney granular cell	GO:0045184	establishment of protein localization
CL:0000653	glomerular visceral epithelial cell	GO:0140352	export from cell
CL:0000097	mast cell	GO:0006790	sulfur compound metabolic process
CL:0001058	plasmacytoid dendritic cell, human	GO:0050789	regulation of biological process
CL:0000990	conventional dendritic cell	GO:0043170	macromolecule metabolic process
CL:0000875	non-classical monocyte	GO:0002694	regulation of leukocyte activation
CL:0000875	non-classical monocyte	GO:0002521	leukocyte differentiation
CL:0000814	mature NK T cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0000648	kidney granular cell	GO:0035592	establishment of protein localization to extracellular region
CL:0000623	natural killer cell	GO:0002376	immune system process
CL:0000576	monocyte	GO:0030225	macrophage differentiation
CL:0000576	monocyte	GO:0007275	multicellular organism development
CL:0000576	monocyte	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0006023	aminoglycan biosynthetic process
CL:0000623	natural killer cell	GO:0002682	regulation of immune system process
CL:0001056	dendritic cell, human	GO:0071704	organic substance metabolic process
CL:0000623	natural killer cell	GO:0045087	innate immune response
CL:0000236	B cell	GO:0002417	B cell antigen processing and presentation mediated by B cell receptor uptake of antigen
CL:0000814	mature NK T cell	GO:0002252	immune effector process
CL:0000875	non-classical monocyte	GO:0051249	regulation of lymphocyte activation
CL:0000084	T cell	GO:0033382	maintenance of granzyme B location in T cell secretory granule
CL:0000653	glomerular visceral epithelial cell	GO:0009987	cellular process
CL:0000084	T cell	GO:0006955	immune response
CL:0000990	conventional dendritic cell	GO:1903706	regulation of hemopoiesis
CL:0000576	monocyte	GO:1903131	mononuclear cell differentiation
CL:0000576	monocyte	GO:0030097	hemopoiesis
CL:0001056	dendritic cell, human	GO:0065007	biological regulation
CL:0000097	mast cell	GO:0051234	establishment of localization
CL:0000097	mast cell	GO:1901564	organonitrogen compound metabolic process
CL:0000814	mature NK T cell	GO:0051674	localization of cell
CL:0000875	non-classical monocyte	GO:0040011	locomotion
CL:0000875	non-classical monocyte	GO:0050867	positive regulation of cell activation
CL:0000084	T cell	GO:0009987	cellular process
CL:0000648	kidney granular cell	GO:0003014	renal system process
CL:0000097	mast cell	GO:0032879	regulation of localization
CL:0000097	mast cell	GO:1901576	organic substance biosynthetic process
CL:0000084	T cell	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0033372	establishment of protease localization to mast cell secretory granule
CL:0000097	mast cell	GO:0051179	localization
CL:0000084	T cell	GO:0023022	termination of T cell signal transduction
CL:0000084	T cell	GO:1905397	activated CD8-positive, alpha-beta T cell apoptotic process
CL:0001058	plasmacytoid dendritic cell, human	GO:0009987	cellular process
CL:0000648	kidney granular cell	GO:0003013	circulatory system process
CL:0000875	non-classical monocyte	GO:0050794	regulation of cellular process
CL:0001056	dendritic cell, human	GO:0006928	movement of cell or subcellular component
CL:0000814	mature NK T cell	GO:0002456	T cell mediated immunity
CL:0000910	cytotoxic T cell	GO:1902483	cytotoxic T cell pyroptotic process
CL:0000097	mast cell	GO:0050920	regulation of chemotaxis
CL:0000990	conventional dendritic cell	GO:0002376	immune system process
CL:0000236	B cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000576	monocyte	GO:0051179	localization
CL:0000623	natural killer cell	GO:0006955	immune response
CL:0000097	mast cell	GO:0032101	regulation of response to external stimulus
CL:1000698	kidney resident macrophage	GO:0016477	cell migration
CL:0000648	kidney granular cell	GO:0003073	regulation of systemic arterial blood pressure
CL:0000875	non-classical monocyte	GO:0050865	regulation of cell activation
CL:0000084	T cell	GO:0033377	maintenance of protein location in T cell secretory granule
CL:1000698	kidney resident macrophage	GO:0006810	transport
CL:0000097	mast cell	GO:0002660	positive regulation of peripheral tolerance induction
CL:0000097	mast cell	GO:0009059	macromolecule biosynthetic process
CL:0000084	T cell	GO:0033378	establishment of protease localization to T cell secretory granule
CL:0000648	kidney granular cell	GO:0008217	regulation of blood pressure
CL:0000576	monocyte	GO:0002520	immune system development
CL:0000097	mast cell	GO:0002654	positive regulation of tolerance induction dependent upon immune response
CL:0000775	neutrophil	GO:0003013	circulatory system process
CL:0000623	natural killer cell	GO:0050776	regulation of immune response
CL:0000648	kidney granular cell	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin
CL:0000814	mature NK T cell	GO:0016477	cell migration
CL:0000648	kidney granular cell	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
CL:0000875	non-classical monocyte	GO:0002684	positive regulation of immune system process
CL:0000875	non-classical monocyte	GO:0008150	biological_process
CL:0000623	natural killer cell	GO:0032609	interferon-gamma production
CL:0000097	mast cell	GO:0040012	regulation of locomotion
CL:0001058	plasmacytoid dendritic cell, human	GO:0008152	metabolic process
CL:0001056	dendritic cell, human	GO:0050793	regulation of developmental process
CL:0000875	non-classical monocyte	GO:0002682	regulation of immune system process
CL:0000084	T cell	GO:0033375	protease localization to T cell secretory granule
CL:0000875	non-classical monocyte	GO:0001775	cell activation
CL:0000097	mast cell	GO:0048522	positive regulation of cellular process
CL:0000097	mast cell	GO:0032103	positive regulation of response to external stimulus
CL:0000910	cytotoxic T cell	GO:0016477	cell migration
CL:0000648	kidney granular cell	GO:0071705	nitrogen compound transport
CL:0000814	mature NK T cell	GO:0050896	response to stimulus
CL:0000814	mature NK T cell	GO:0043207	response to external biotic stimulus
CL:0000115	endothelial cell	GO:1902354	blood vessel endothelial cell delamination involved in blood vessel lumen ensheathment
CL:0000097	mast cell	GO:0002652	regulation of tolerance induction dependent upon immune response
CL:0000648	kidney granular cell	GO:0023061	signal release
CL:0000084	T cell	GO:0002449	lymphocyte mediated immunity
CL:0000775	neutrophil	GO:0051674	localization of cell
CL:0000990	conventional dendritic cell	GO:0065007	biological regulation
CL:0000623	natural killer cell	GO:0009987	cellular process
CL:0000875	non-classical monocyte	GO:0048513	animal organ development
CL:0000910	cytotoxic T cell	GO:0051179	localization
CL:0000084	T cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000097	mast cell	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000653	glomerular visceral epithelial cell	GO:0046903	secretion
CL:0001058	plasmacytoid dendritic cell, human	GO:0065007	biological regulation
CL:1000698	kidney resident macrophage	GO:0001667	ameboidal-type cell migration
CL:0000097	mast cell	GO:0033367	protein localization to mast cell secretory granule
CL:0000097	mast cell	GO:0002538	arachidonic acid metabolite production involved in inflammatory response
CL:0000648	kidney granular cell	GO:0032940	secretion by cell
CL:0000648	kidney granular cell	GO:0065007	biological regulation
CL:0000990	conventional dendritic cell	GO:0045595	regulation of cell differentiation
CL:0001056	dendritic cell, human	GO:1903706	regulation of hemopoiesis
CL:0000875	non-classical monocyte	GO:0051179	localization
CL:0001058	plasmacytoid dendritic cell, human	GO:0051239	regulation of multicellular organismal process
CL:0001058	plasmacytoid dendritic cell, human	GO:1903706	regulation of hemopoiesis
CL:0000875	non-classical monocyte	GO:0050789	regulation of biological process
CL:0000786	plasma cell	GO:0009987	cellular process
CL:0000084	T cell	GO:0070238	activated T cell autonomous cell death
CL:0000097	mast cell	GO:0006024	glycosaminoglycan biosynthetic process
CL:0000097	mast cell	GO:0002828	regulation of type 2 immune response
CL:0000814	mature NK T cell	GO:0140375	immune receptor activity
CL:0000623	natural killer cell	GO:0050789	regulation of biological process
CL:0000097	mast cell	GO:1903510	mucopolysaccharide metabolic process
CL:0000097	mast cell	GO:0040011	locomotion
CL:0000576	monocyte	GO:0048856	anatomical structure development
CL:0000875	non-classical monocyte	GO:0030316	osteoclast differentiation
CL:0000648	kidney granular cell	GO:0140352	export from cell
CL:0000097	mast cell	GO:0030335	positive regulation of cell migration
CL:0000990	conventional dendritic cell	GO:0051674	localization of cell
CL:0000814	mature NK T cell	GO:0009605	response to external stimulus
CL:0000097	mast cell	GO:0016477	cell migration
CL:0000097	mast cell	GO:0044237	cellular metabolic process
CL:0000097	mast cell	GO:0002658	regulation of peripheral tolerance induction
CL:0000084	T cell	GO:0002376	immune system process
CL:0001058	plasmacytoid dendritic cell, human	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0040017	positive regulation of locomotion
CL:0000875	non-classical monocyte	GO:0048518	positive regulation of biological process
CL:0000097	mast cell	GO:0006810	transport
CL:0000910	cytotoxic T cell	GO:0001667	ameboidal-type cell migration
CL:0000236	B cell	GO:0002454	peripheral B cell deletion
CL:0000236	B cell	GO:0002250	adaptive immune response
CL:0000910	cytotoxic T cell	GO:0002456	T cell mediated immunity
CL:0000236	B cell	GO:0002510	central B cell tolerance induction
CL:0000236	B cell	GO:0002449	lymphocyte mediated immunity
CL:0000236	B cell	GO:0001769	establishment of B cell polarity
CL:0000910	cytotoxic T cell	GO:0002376	immune system process
CL:0000623	natural killer cell	GO:0065007	biological regulation
CL:1000698	kidney resident macrophage	GO:0040011	locomotion
CL:0000084	T cell	GO:1902482	regulatory T cell apoptotic process
CL:0000097	mast cell	GO:0048518	positive regulation of biological process
CL:1000698	kidney resident macrophage	GO:0120036	plasma membrane bounded cell projection organization
CL:0000648	kidney granular cell	GO:0009987	cellular process
CL:1000698	kidney resident macrophage	GO:0016043	cellular component organization
CL:0000236	B cell	GO:0048870	cell motility
CL:0000097	mast cell	GO:0033369	establishment of protein localization to mast cell secretory granule
CL:0000623	natural killer cell	GO:0001816	cytokine production
CL:0000097	mast cell	GO:0032762	mast cell cytokine production
CL:0000576	monocyte	GO:0048870	cell motility
CL:0001056	dendritic cell, human	GO:0010467	gene expression
CL:0000236	B cell	GO:0006928	movement of cell or subcellular component
CL:0000576	monocyte	GO:0045321	leukocyte activation
CL:0000084	T cell	GO:0033376	establishment of protein localization to T cell secretory granule
CL:0000097	mast cell	GO:0001667	ameboidal-type cell migration
CL:0000623	natural killer cell	GO:0006928	movement of cell or subcellular component
CL:0000910	cytotoxic T cell	GO:0040011	locomotion
CL:0000786	plasma cell	GO:0048870	cell motility
CL:0000576	monocyte	GO:0002471	monocyte antigen processing and presentation
CL:0000084	T cell	GO:0002250	adaptive immune response
CL:0000990	conventional dendritic cell	GO:0071704	organic substance metabolic process
CL:0001058	plasmacytoid dendritic cell, human	GO:0032606	type I interferon production
CL:0000623	natural killer cell	GO:0006952	defense response
CL:0000648	kidney granular cell	GO:0071702	organic substance transport
CL:0000786	plasma cell	GO:0006928	movement of cell or subcellular component
CL:0001056	dendritic cell, human	GO:0045595	regulation of cell differentiation
CL:0000084	T cell	GO:0002252	immune effector process
CL:0001056	dendritic cell, human	GO:1902105	regulation of leukocyte differentiation
CL:0000875	non-classical monocyte	GO:0002573	myeloid leukocyte differentiation
CL:0000875	non-classical monocyte	GO:0048534	hematopoietic or lymphoid organ development
CL:1000698	kidney resident macrophage	GO:0008150	biological_process
CL:0000648	kidney granular cell	GO:0007267	cell-cell signaling
CL:0000623	natural killer cell	GO:0008152	metabolic process
CL:0000236	B cell	GO:0016477	cell migration
CL:0000814	mature NK T cell	GO:0032394	MHC class Ib receptor activity
CL:0000648	kidney granular cell	GO:0046903	secretion
CL:0000097	mast cell	GO:0006807	nitrogen compound metabolic process
CL:0000648	kidney granular cell	GO:0002001	renin secretion into blood stream
CL:0000775	neutrophil	GO:0001781	neutrophil apoptotic process
CL:0000648	kidney granular cell	GO:0001999	renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure
CL:0000623	natural killer cell	GO:0043170	macromolecule metabolic process
CL:0000576	monocyte	GO:0016477	cell migration
CL:0000084	T cell	GO:0002443	leukocyte mediated immunity
CL:0000875	non-classical monocyte	GO:0065007	biological regulation
CL:0001058	plasmacytoid dendritic cell, human	GO:0048870	cell motility
CL:0000623	natural killer cell	GO:0006950	response to stress
CL:0000576	monocyte	GO:0030099	myeloid cell differentiation
CL:1000698	kidney resident macrophage	GO:0030030	cell projection organization
CL:0000814	mature NK T cell	GO:0008150	biological_process
CL:0000097	mast cell	GO:0002532	production of molecular mediator involved in inflammatory response
CL:0000623	natural killer cell	GO:0002449	lymphocyte mediated immunity
CL:0000084	T cell	GO:0002512	central T cell tolerance induction
CL:0000097	mast cell	GO:0002821	positive regulation of adaptive immune response
CL:0000097	mast cell	GO:0033370	maintenance of protein location in mast cell secretory granule
CL:0000623	natural killer cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0000623	natural killer cell	GO:0048870	cell motility
CL:0000097	mast cell	GO:0050794	regulation of cellular process
CL:0000990	conventional dendritic cell	GO:0010467	gene expression
CL:0000236	B cell	GO:0002443	leukocyte mediated immunity
CL:0000084	T cell	GO:0043316	cytotoxic T cell degranulation
CL:0000775	neutrophil	GO:0048870	cell motility
CL:0000814	mature NK T cell	GO:0051179	localization
CL:0000990	conventional dendritic cell	GO:0050793	regulation of developmental process
CL:0000623	natural killer cell	GO:0002443	leukocyte mediated immunity
CL:0000875	non-classical monocyte	GO:0002376	immune system process
CL:0000097	mast cell	GO:0048584	positive regulation of response to stimulus
CL:0000775	neutrophil	GO:0006928	movement of cell or subcellular component
CL:0000576	monocyte	GO:0001667	ameboidal-type cell migration
CL:0000875	non-classical monocyte	GO:0009987	cellular process
CL:0001056	dendritic cell, human	GO:0016477	cell migration
CL:0000875	non-classical monocyte	GO:0031294	lymphocyte costimulation
CL:0000875	non-classical monocyte	GO:0001773	myeloid dendritic cell activation
CL:0000623	natural killer cell	GO:0051707	response to other organism
CL:0000875	non-classical monocyte	GO:0051251	positive regulation of lymphocyte activation
CL:0001056	dendritic cell, human	GO:0051249	regulation of lymphocyte activation
CL:0000990	conventional dendritic cell	GO:1902105	regulation of leukocyte differentiation
CL:0000875	non-classical monocyte	GO:0032502	developmental process
CL:1000698	kidney resident macrophage	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0000097	mast cell	GO:0002684	positive regulation of immune system process
CL:0000097	mast cell	GO:0008150	biological_process
CL:0000814	mature NK T cell	GO:0098542	defense response to other organism
CL:0000236	B cell	GO:0002342	central B cell deletion
CL:0000097	mast cell	GO:0002682	regulation of immune system process
CL:0001058	plasmacytoid dendritic cell, human	GO:0071704	organic substance metabolic process
CL:0000084	T cell	GO:1905398	activated CD4-positive, alpha-beta T cell apoptotic process
CL:0001056	dendritic cell, human	GO:0045580	regulation of T cell differentiation
CL:0000814	mature NK T cell	GO:0001667	ameboidal-type cell migration
CL:1000698	kidney resident macrophage	GO:0009987	cellular process
CL:0000097	mast cell	GO:0044272	sulfur compound biosynthetic process
CL:0000990	conventional dendritic cell	GO:0048870	cell motility
CL:0001058	plasmacytoid dendritic cell, human	GO:0045580	regulation of T cell differentiation
CL:0000084	T cell	GO:0002403	T cell tolerance induction in mucosal-associated lymphoid tissue
CL:0001058	plasmacytoid dendritic cell, human	GO:0051674	localization of cell
CL:0000910	cytotoxic T cell	GO:0006955	immune response
CL:0000775	neutrophil	GO:0016477	cell migration
CL:0001056	dendritic cell, human	GO:0050794	regulation of cellular process
CL:0000236	B cell	GO:0002341	central B cell anergy
CL:0001058	plasmacytoid dendritic cell, human	GO:0045595	regulation of cell differentiation
CL:0000236	B cell	GO:0002402	B cell tolerance induction in mucosal-associated lymphoid tissue
CL:0000236	B cell	GO:0040011	locomotion
CL:0001058	plasmacytoid dendritic cell, human	GO:0050794	regulation of cellular process
CL:0000875	non-classical monocyte	GO:0048869	cellular developmental process
CL:0000084	T cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0050789	regulation of biological process
CL:0000115	endothelial cell	GO:0097706	vascular endothelial cell response to oscillatory fluid shear stress
CL:0000236	B cell	GO:0002453	peripheral B cell anergy
CL:0000097	mast cell	GO:0032940	secretion by cell
CL:0000097	mast cell	GO:0001821	histamine secretion
CL:0000576	monocyte	GO:0040011	locomotion
CL:0000814	mature NK T cell	GO:0009607	response to biotic stimulus
CL:0000236	B cell	GO:0071948	activation-induced B cell apoptotic process
CL:0000990	conventional dendritic cell	GO:0002469	myeloid dendritic cell antigen processing and presentation
CL:0000236	B cell	GO:0050896	response to stimulus
CL:0000097	mast cell	GO:0048583	regulation of response to stimulus
CL:0000097	mast cell	GO:0051239	regulation of multicellular organismal process
CL:0000097	mast cell	GO:0002687	positive regulation of leukocyte migration
CL:0000236	B cell	GO:0002515	B cell anergy
CL:0000623	natural killer cell	GO:0071704	organic substance metabolic process
CL:0000097	mast cell	GO:0051240	positive regulation of multicellular organismal process
CL:0001056	dendritic cell, human	GO:0002694	regulation of leukocyte activation
CL:0000576	monocyte	GO:0030316	osteoclast differentiation
CL:0000097	mast cell	GO:0051270	regulation of cellular component movement
CL:0000097	mast cell	GO:0140352	export from cell
CL:0000623	natural killer cell	GO:0002252	immune effector process
CL:0000875	non-classical monocyte	GO:0048731	system development
CL:0001056	dendritic cell, human	GO:0002682	regulation of immune system process
CL:0000875	non-classical monocyte	GO:0048870	cell motility
CL:0000814	mature NK T cell	GO:0040011	locomotion
CL:0000236	B cell	GO:0002450	B cell antigen processing and presentation
CL:0000990	conventional dendritic cell	GO:0016477	cell migration
CL:0000576	monocyte	GO:0032501	multicellular organismal process
CL:0000875	non-classical monocyte	GO:0002520	immune system development
CL:0000097	mast cell	GO:0050776	regulation of immune response
CL:0000236	B cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0033368	protease localization to mast cell secretory granule
CL:0000990	conventional dendritic cell	GO:0051249	regulation of lymphocyte activation
CL:0000623	natural killer cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0009058	biosynthetic process
CL:0000236	B cell	GO:0008150	biological_process
CL:0000236	B cell	GO:0002451	peripheral B cell tolerance induction
CL:0000786	plasma cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0009987	cellular process
CL:0000576	monocyte	GO:0008150	biological_process
CL:0000084	T cell	GO:0050896	response to stimulus
CL:0000084	T cell	GO:0050852	T cell receptor signaling pathway
CL:0000576	monocyte	GO:0001775	cell activation
CL:1000698	kidney resident macrophage	GO:0006928	movement of cell or subcellular component
CL:0000236	B cell	GO:0019724	B cell mediated immunity
CL:0000084	T cell	GO:0033374	protein localization to T cell secretory granule
CL:0000786	plasma cell	GO:0008150	biological_process
CL:0000097	mast cell	GO:0002645	positive regulation of tolerance induction
CL:0000097	mast cell	GO:0006022	aminoglycan metabolic process
CL:0000097	mast cell	GO:0006952	defense response
CL:0001056	dendritic cell, human	GO:0051239	regulation of multicellular organismal process
CL:0000910	cytotoxic T cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0001056	dendritic cell, human	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0000097	mast cell	GO:0002643	regulation of tolerance induction
CL:1000698	kidney resident macrophage	GO:0002376	immune system process
CL:0000097	mast cell	GO:0002819	regulation of adaptive immune response
CL:0000576	monocyte	GO:0048513	animal organ development
CL:0001056	dendritic cell, human	GO:0032501	multicellular organismal process
CL:0000623	natural killer cell	GO:0002519	natural killer cell tolerance induction
CL:0000875	non-classical monocyte	GO:0030099	myeloid cell differentiation
CL:0000236	B cell	GO:0002514	B cell tolerance induction
CL:0000097	mast cell	GO:0033024	mast cell apoptotic process
CL:0001058	plasmacytoid dendritic cell, human	GO:0032501	multicellular organismal process
CL:0001056	dendritic cell, human	GO:0050865	regulation of cell activation
CL:0000097	mast cell	GO:0008152	metabolic process
CL:0000097	mast cell	GO:0071705	nitrogen compound transport
CL:0000814	mature NK T cell	GO:0060089	molecular transducer activity
CL:0000648	kidney granular cell	GO:0032501	multicellular organismal process
CL:0000775	neutrophil	GO:0040011	locomotion
CL:1000698	kidney resident macrophage	GO:0019882	antigen processing and presentation
CL:0000910	cytotoxic T cell	GO:0001909	leukocyte mediated cytotoxicity
CL:0000097	mast cell	GO:0033373	maintenance of protease location in mast cell secretory granule
CL:0000875	non-classical monocyte	GO:0043011	myeloid dendritic cell differentiation
CL:0000814	mature NK T cell	GO:0051707	response to other organism
CL:0000623	natural killer cell	GO:0050896	response to stimulus
CL:0000814	mature NK T cell	GO:0002376	immune system process
CL:0000875	non-classical monocyte	GO:0002696	positive regulation of leukocyte activation
CL:0000084	T cell	GO:0002411	T cell tolerance induction to tumor cell
CL:0000990	conventional dendritic cell	GO:0002694	regulation of leukocyte activation
CL:0000623	natural killer cell	GO:0043207	response to external biotic stimulus
CL:0000653	glomerular visceral epithelial cell	GO:0006810	transport
CL:0000097	mast cell	GO:2000147	positive regulation of cell motility
CL:0000576	monocyte	GO:0002573	myeloid leukocyte differentiation
CL:0001056	dendritic cell, human	GO:0008150	biological_process
CL:0000236	B cell	GO:1990117	B cell receptor apoptotic signaling pathway
CL:0000814	mature NK T cell	GO:0045087	innate immune response
CL:0000623	natural killer cell	GO:0032501	multicellular organismal process
CL:0000097	mast cell	GO:0006812	cation transport
CL:0001058	plasmacytoid dendritic cell, human	GO:0008150	biological_process
CL:0000623	natural killer cell	GO:0098542	defense response to other organism
CL:0000097	mast cell	GO:0065007	biological regulation
CL:0000910	cytotoxic T cell	GO:0009987	cellular process
CL:0000875	non-classical monocyte	GO:0097028	dendritic cell differentiation
CL:0000648	kidney granular cell	GO:0008150	biological_process
CL:0000775	neutrophil	GO:0032501	multicellular organismal process
CL:0001058	plasmacytoid dendritic cell, human	GO:0050793	regulation of developmental process
CL:0000236	B cell	GO:0006955	immune response
CL:0000648	kidney granular cell	GO:0051234	establishment of localization
CL:0000115	endothelial cell	GO:0097497	blood vessel endothelial cell delamination
CL:0000990	conventional dendritic cell	GO:0040011	locomotion
CL:0001058	plasmacytoid dendritic cell, human	GO:0010467	gene expression
CL:0000990	conventional dendritic cell	GO:0019882	antigen processing and presentation
CL:0001056	dendritic cell, human	GO:0051179	localization
CL:0000097	mast cell	GO:0046903	secretion
CL:0000097	mast cell	GO:0006928	movement of cell or subcellular component
CL:0001056	dendritic cell, human	GO:0050789	regulation of biological process
CL:0000775	neutrophil	GO:0008150	biological_process
CL:0001058	plasmacytoid dendritic cell, human	GO:0051179	localization
