WARNING - Different labels found for UBERON:0000052. Uberongraph: fornix of brain ; ASCT+b table: fornix
WARNING - Different labels found for UBERON:0001717. Uberongraph: spinal nucleus of trigeminal nerve ; ASCT+b table: spinal trigeminal nucleus
WARNING - Different labels found for UBERON:0001890. Uberongraph: forebrain ; ASCT+b table: forebrain (prosencephalon)
WARNING - Different labels found for UBERON:0001891. Uberongraph: midbrain ; ASCT+b table: midbrain (mesencephalon)
WARNING - Different labels found for UBERON:0002022. Uberongraph: insula ; ASCT+b table: insular lobe
WARNING - Different labels found for UBERON:0002023. Uberongraph: claustrum of brain ; ASCT+b table: claustrum
WARNING - Different labels found for UBERON:0002028. Uberongraph: hindbrain ; ASCT+b table: hindbrain (rhombencephalon)
WARNING - Different labels found for UBERON:0002151. Uberongraph: pontine nuclear group ; ASCT+b table: basilar part of pons (Pontine nuclei)
WARNING - Different labels found for UBERON:0002285. Uberongraph: telencephalic ventricle ; ASCT+b table: lateral ventricles
WARNING - Different labels found for UBERON:0002289. Uberongraph: midbrain cerebral aqueduct ; ASCT+b table: ventricle of midbrain (cerebral aqueduct)
WARNING - Different labels found for UBERON:0002291. Uberongraph: central canal of spinal cord ; ASCT+b table: central canal of medulla oblongata
WARNING - Different labels found for UBERON:0002476. Uberongraph: lateral globus pallidus ; ASCT+b table: globus pallidus, external
WARNING - Different labels found for UBERON:0002477. Uberongraph: medial globus pallidus ; ASCT+b table: globus pallidus, internal
WARNING - Different labels found for UBERON:0002590. Uberongraph: prepyriform area ; ASCT+b table: prepiriform region
WARNING - Different labels found for UBERON:0002624. Uberongraph: orbital part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, orbital part
WARNING - Different labels found for UBERON:0002629. Uberongraph: triangular part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, triangular part
WARNING - Different labels found for UBERON:0002644. Uberongraph: intermediate orbital gyrus ; ASCT+b table: anterior intermediate orbital gyrus
WARNING - Different labels found for UBERON:0002707. Uberongraph: corticospinal tract ; ASCT+b table: pyramidal tract
WARNING - Different labels found for UBERON:0002738. Uberongraph: isthmus of cingulate gyrus ; ASCT+b table: cingulo-parahippocampal isthmus
WARNING - Different labels found for UBERON:0002740. Uberongraph: posterior cingulate gyrus ; ASCT+b table: cingulate gyrus, caudal (posterior) part
WARNING - Different labels found for UBERON:0002756. Uberongraph: anterior cingulate gyrus ; ASCT+b table: cingulate gyrus, rostral (anterior) part
WARNING - Different labels found for UBERON:0002980. Uberongraph: opercular part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, opercular part
WARNING - Different labels found for UBERON:0003020. Uberongraph: subcallosal area ; ASCT+b table: subcallosal gyrus (parolfactory gyrus)
WARNING - Different labels found for UBERON:0003040. Uberongraph: central gray substance of midbrain ; ASCT+b table: periaqueductal gray substance
WARNING - Different labels found for UBERON:0004086. Uberongraph: brain ventricle ; ASCT+b table: ventricles of hindbrain
WARNING - Different labels found for UBERON:0004671. Uberongraph: gyrus rectus ; ASCT+b table: gyrus rectus (straight gyrus)
WARNING - Different labels found for UBERON:0004672. Uberongraph: posterior horn lateral ventricle ; ASCT+b table: posterior horn of lateral ventricle
WARNING - Different labels found for UBERON:0004725. Uberongraph: piriform cortex ; ASCT+b table: lateral olfactory gyrus
WARNING - Different labels found for UBERON:0006083. Uberongraph: perirhinal cortex ; ASCT+b table: perirhinal gyrus ( rostral part of FuGt)
WARNING - Different labels found for UBERON:0006091. Uberongraph: inferior horn of the lateral ventricle ; ASCT+b table: inferior horn of lateral ventricle
WARNING - Different labels found for UBERON:0006092. Uberongraph: cuneus cortex ; ASCT+b table: cuneus
WARNING - Different labels found for UBERON:0006093. Uberongraph: precuneus cortex ; ASCT+b table: precuneus
WARNING - Different labels found for UBERON:0007228. Uberongraph: vestibular nucleus ; ASCT+b table: vestibular nuclei
WARNING - Different labels found for UBERON:0007634. Uberongraph: parabrachial nucleus ; ASCT+b table: parabrachial nuclei
WARNING - Different labels found for UBERON:0007769. Uberongraph: medial preoptic region ; ASCT+b table: preoptic region
WARNING - Different labels found for UBERON:0010011. Uberongraph: collection of basal ganglia ; ASCT+b table: basal nuclei (basal ganglia)
WARNING - Different labels found for UBERON:0022364. Uberongraph: occipital fusiform gyrus ; ASCT+b table: occipitotemporal (fusiform) gyrus, temporal part
WARNING - Different labels found for UBERON:0024151. Uberongraph: tegmentum ; ASCT+b table: tegmentum of the medulla
WARNING - Different labels found for UBERON:0034891. Uberongraph: insular cortex ; ASCT+b table: long insular gyri
WARNING - Different labels found for UBERON:0035932. Uberongraph: anterior segment of paracentral lobule ; ASCT+b table: paracentral lobule, rostral part
WARNING - No valid ID provided for 'PCL:0015004', label: Inh L1-6 LAMP5 NES, user_label: Inh L1-6 LAMP5 NES primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015005', label: Inh L1-6 LAMP5 CA1, user_label: Inh L1-6 LAMP5 CA1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015006', label: Inh L5-6 LAMP5 CRABP1, user_label: Inh L5-6 LAMP5 CRABP1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015007', label: Inh L3-6 PAX6 LINC01497, user_label: Inh L3-6 PAX6 LINC01497 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015008', label: Inh L1 PAX6 MIR101-1, user_label: Inh L1 PAX6 MIR101-1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015009', label: Inh L1 PAX6 CHRFAM7A, user_label: Inh L1 PAX6 CHRFAM7A primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015010', label: Inh L1-6 VIP SLC7A6OS, user_label: Inh L1-6 VIP SLC7A6OS primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015011', label: Inh L2 PAX6 FREM2, user_label: Inh L2 PAX6 FREM2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015012', label: Inh L1-2 VIP HTR3A, user_label: Inh L1-2 VIP HTR3A primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015013', label: Inh L1-2 VIP WNT4, user_label: Inh L1-2 VIP WNT4 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015014', label: Inh L1 LAMP5 BMP2, user_label: Inh L1 LAMP5 BMP2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015015', label: Inh L1 LAMP5 NMBR, user_label: Inh L1 LAMP5 NMBR primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015016', label: Inh L1 PVALB SST ASIC4, user_label: Inh L1 PVALB-like SST ASIC4 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015017', label: Inh L1 SST P4HA3, user_label: Inh L1 SST P4HA3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015018', label: Inh L1 SST DEFB108B, user_label: Inh L1 SST DEFB108B primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015019', label: Inh L1-3 VIP CBLN1, user_label: Inh L1-3 VIP CBLN1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015020', label: Inh L1-2 VIP EXPH5, user_label: Inh L1-2 VIP EXPH5 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015021', label: Inh L1-3 VIP HSPB6, user_label: Inh L1-3 VIP HSPB6 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015022', label: Inh L1-2 VIP PTGER3, user_label: Inh L1-2 VIP PTGER3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015023', label: Inh L1-2 VIP SCML4, user_label: Inh L1-2 VIP SCML4 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015024', label: Inh L1-3 VIP FNDC1, user_label: Inh L1-3 VIP FNDC1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015025', label: Inh L1-3 VIP CHRNA2, user_label: Inh L1-3 VIP CHRNA2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015026', label: Inh L2 VIP SLC6A16, user_label: Inh L2 VIP SLC6A16 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015027', label: Inh L1 VIP KLHDC8B, user_label: Inh L1 VIP KLHDC8B primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015028', label: Inh L3-5 VIP IGDCC3, user_label: Inh L3-5 VIP IGDCC3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015029', label: Inh L1-5 VIP SMOC1, user_label: Inh L1-5 VIP SMOC1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015030', label: Inh L3-5 VIP HS3ST3A1, user_label: Inh L3-5 VIP HS3ST3A1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015031', label: Inh L5-6 VIP COL4A3, user_label: Inh L5-6 VIP COL4A3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015032', label: Inh L1-5 VIP CD27-AS1, user_label: Inh L1-5 VIP CD27-AS1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015033', label: Inh L2-5 VIP BSPRY, user_label: Inh L2-5 VIP BSPRY primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015034', label: Inh L2-5 VIP SOX11, user_label: Inh L2-5 VIP SOX11 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015035', label: Inh L3-6 VIP ZIM2-AS1, user_label: Inh L3-6 VIP ZIM2-AS1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015036', label: Inh L1-5 VIP PHLDB3, user_label: Inh L1-5 VIP PHLDB3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015037', label: Inh L1-5 VIP LINC01013, user_label: Inh L1-5 VIP LINC01013 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015038', label: Inh L3-6 VIP UG0898H09, user_label: Inh L3-6 VIP UG0898H09 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015039', label: Inh L3-5 VIP TAC3, user_label: Inh L3-5 VIP TAC3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015040', label: Inh L1-6 SST NPY (Sset Chodl), user_label: Inh L1-6 SST NPY primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015041', label: Inh L3-5 SST CDH3, user_label: Inh L3-5 SST CDH3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015042', label: Inh L5 SST RPL35AP11, user_label: Inh L5 SST RPL35AP11 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015043', label: Inh L5-6 SST ISX, user_label: Inh L5-6 SST ISX primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015044', label: Inh L5-6 PVALB SST CRHR2, user_label: Inh L5-6 PVALB SST CRHR2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015045', label: Inh L3-5 SST OR5AH1P, user_label: Inh L3-5 SST OR5AH1P primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015046', label: Inh L3-5 SST GGTLC3, user_label: Inh L3-5 SST GGTLC3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015047', label: Inh L2-3 SST NMU, user_label: Inh L2-3 SST NMU primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015048', label: Inh L5-6 SST PAWR, user_label: Inh L5-6 SST PAWR primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015049', label: Inh L5-6 SST PIK3CD, user_label: Inh L5-6 SST PIK3CD primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015050', label: Inh L1-2 SST CCNJL, user_label: Inh L1-2 SST CCNJL primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015051', label: Inh L1-3 SST FAM20A, user_label: Inh L1-3 SST FAM20A primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015052', label: Inh L1-2 SST PRRT4, user_label: Inh L1-2 SST PRRT4 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015053', label: Inh L5-6 SST BEAN1, user_label: Inh L5-6 SST BEAN1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015054', label: Inh L5-6 SST DNAJC14, user_label: Inh L5-6 SST DNAJC14 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015055', label: Inh L5-6 SST C4orf26, user_label: Inh L5-6 SST C4orf26 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015056', label: Inh L5-6 SST FBN2, user_label: Inh L5-6 SST FBN2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015057', label: Inh L5-6 SST KLHL1, user_label: Inh L5-6 SST KLHL1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015058', label: Inh L6 SST TH, user_label: Inh L6 SST TH primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015059', label: Inh L5-6 PVALB KCNIP2, user_label: Inh L5-6 PVALB KCNIP2 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015060', label: Inh L5-6 PVALB ZFPM2-AS1, user_label: Inh L5-6 PVALB ZFPM2-AS1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015061', label: Inh L3-5 PVALB ISG20, user_label: Inh L3-5 PVALB ISG20 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015062', label: Inh L5 PVALB LRIG3, user_label: Inh L5 PVALB LRIG3 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015063', label: Inh L2-5 PVALB HHIPL1, user_label: Inh L2-5 PVALB HHIPL1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015064', label: Inh L2-5 PVALB RPH3AL, user_label: Inh L2-5 PVALB RPH3AL primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015065', label: Inh L3 PVALB SAMD13, user_label: Inh L3 PVALB SAMD13 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015066', label: Inh L1-2 PVALB CDK20, user_label: Inh L1-2 PVALB CDK20 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015067', label: Inh L2 PVALB FRZB, user_label: Inh L2 PVALB FRZB primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015068', label: Inh L1-2 SST CLIC6, user_label: Inh L1-2 SST CLIC6 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015069', label: Inh L5-6 PVALB GAPDHP60, user_label: Inh L5-6 PVALB GAPDHP60 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015070', label: Inh L5-6 PVALB FAM150B, user_label: Inh L5-6 PVALB FAM150B primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015071', label: Inh L5-6 PVALB MEPE, user_label: Inh L5-6 PVALB MEPE primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015072', label: Inh L1-6 PVALB COL15A1 (Chandelier), user_label: Inh L1-6 PVALB COL15A1 primary motor cortex GABAergic interneuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015073', label: Exc L2 LAMP5 KCNG3, user_label: Exc L2 LAMP5 KCNG3 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015074', label: Exc L2 LINC00507 ATP7B, user_label: Exc L2 LINC00507 ATP7B primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015075', label: Exc L2 LINC00507 GLRA3, user_label: Exc L2 LINC00507 GLRA3 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015076', label: Exc L2-3 RORB RTKN2, user_label: Exc L2-3 RORB RTKN2 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015077', label: Exc L2-3 LINC00507 DSG3, user_label: Exc L2-3 LINC00507 DSG3 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015078', label: Exc L3 LAMP5 CARM1P1, user_label: Exc L3 LAMP5 CARM1P1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015079', label: Oligo L2-6 OPALIN MAP6D1, user_label: Oligo L2-6 OPALIN MAP6D1 primary motor cortex oligodendrocyte (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015080', label: Exc L2-3 RORB CCDC68, user_label: Exc L2-3 RORB CCDC68 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015081', label: Exc L2-3 RORB PTPN3, user_label: Exc L2-3 RORB PTPN3 primary motor cortex glutamatergic neuron (Homo sapiens)
