AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	CT/1	CT/1/LABEL	CT/1/ID	Protein biomarkers from Antibody Based Assays (IHC, FACS)	Transcriptomics/With References ()	BP/1	BP/1/LABEL	BP/1/ID	BP/2	BP/2/LABEL	BP/2/ID	BP/3	BP/3/LABEL	BP/3/ID	BP/4	BP/4/LABEL	BP/4/ID	BP/5	BP/5/LABEL	BP/5/ID	BP/6	BP/6/LABEL	BP/6/ID	BP/7	BP/7/LABEL	BP/7/ID	BP/8	BP/8/LABEL	BP/8/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES	REF/3	REF/3/DOI	REF/3/NOTES
lymph node	lymph node	UBERON:0000029	Sinus			Subcapsular Sinus	subcapsular sinus of lymph node	UBERON:0005463							Lymphatic Endothelial Cell -Subcapsular Sinus Ceiling	Xiang 2020		ACKR4+, CAV1+, CD31+, CD45-, CD73+, Claudin11-, Lyve1-, MARCO-, MFAP4+, Podoplanin+, Prox-1+, TNFRSF9-  	ACKR4, CAV1, NUDT4, NT5E (Takeda et al., 2019; Xiang et al., 2020)																										Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00052	https://doi.org/10.3389/fcvm.2020.00052		Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.1016/j.immuni.2019.06.027				
lymph node	lymph node	UBERON:0000029	Sinus			Subcapsular Sinus	subcapsular sinus of lymph node	UBERON:0005463							Lymphatic Endothelial Cell-Subcapsular Sinus Floor	Xiang 2020		ACKR4-, CAV1+, CD9+, CD31+, CD45-, CD73+, Claudin 11-, ICAM1+, Lyve1-, MARCO-, MFAP4-, PDL1+, Podoplanin+, Prox-1+, TNFRSF9-  	CCL20, CXCL1, CXCL5, DARC,  LYZ, MARCO, TNFRSF9,THY1 (Takeda et al., 2019; Xiang et al., 2020)																										Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00053	https://doi.org/10.3389/fcvm.2020.00052		Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.1016/j.immuni.2019.06.027				
lymph node	lymph node	UBERON:0000029	Sinus		William-Mack 2016, Medeiros 2017	Transverse Sinus	William-Mack 2016, Medeiros 2017,Jalkanen 2020								Lymphatic Endothelial Cell-Trabeculae			ACKR4+, CAV1+, CD31+, CD45-, CD73+, Claudin 11-, Lyve-1+, MARCO-, MFAP4+, Podoplanin+, Prox-1+, TNFRSF9-  	ACKR4, LYVE1, MFAP4, NT5E (Takeda et al., 2019; Xiang et al., 2020)																										Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00055	https://doi.org/10.3389/fcvm.2020.00052		Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.1016/j.immuni.2019.06.027				
lymph node	lymph node	UBERON:0000029	Cortex		William-Mack 2016, Medeiros 2017	Vasculature			Blood Vessels			Venule			Blood Vessel Endothelial Cell			CD31+, CD34+, CD105+, CD144+, Flt1+, Podoplanin-, PROX-1-  	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)																										Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;9(4):e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;9(8):e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.	DOI: 10.1371/journal.pone.0094781		Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2005	https://doi.org/10.1369/jhc.4A6514.2005				
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Vasculature			Blood Vessels			Arteriole			Blood Vessel Endothelial Cell			CD31+, CD34+, CD105+, CD144+, Flt1+, Podoplanin-, PROX-1-  	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)																										Park SM, Angel CE, McIntosh JD, Mansell C, Chen CJ, Cebon J, Dunbar PR. Mapping the distinctive populations of lymphatic endothelial cells in different zones of human lymph nodes. PLoS One. 2014 Apr 14;9(4):e94781. doi: 10.1371/journal.pone.0094781. Erratum in: PLoS One. 2014;9(8):e106814. Mansell, Claudia M [corrected to Mansell, Claudia J]. PMID: 24733110; PMCID: PMC3986404.	DOI: 10.1371/journal.pone.0094781		Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2006	https://doi.org/10.1369/jhc.4A6514.2005				
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Vasculature			Blood Vessels						Pericyte	myofibroblast cell	CL:0000186	PDGFRalpha+, PDGFRbeta+	PDGFRalpha+, PDGFRbeta+ (Xiang et al., 2020)																										Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00052	https://doi.org/10.3389/fcvm.2020.00052							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Primary Follicle	lymph node primary follicle	UBERON:0010395							Follicular Dendritic Cell	follicular dendritic cell	CL:0000442	CD21+, CD32+, CD35+, CXCL13+, HLA-DR+, ICAM-1, Podoplanin+, VCAM-1+	CR2, CXCL13, FCGRB, MADCAM1, MFGE8, VCAM1 (Predicted from mouse-Rodda et al., 2018)																										Allen CD, Cyster JG. Follicular dendritic cell networks of primary follicles and germinal centers: phenotype and function. Semin Immunol. 2008;20(1):14-25. doi:10.1016/j.smim.2007.12.001	doi: 10.1016/j.smim.2007.12.001		Marsee DK, Pinkus GS, Hornick JL. Podoplanin (D2-40) is a highly effective marker of follicular dendritic cells. Appl Immunohistochem Mol Morphol. 2009 Mar;17(2):102-7. doi: 10.1097/PAI.0b013e318183a8e2. PMID: 18838918.	DOI: 10.1097/PAI.0b013e318183a8e2		Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.	DOI: 10.1016/j.ajpath.2010.12.039	
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Primary Follicle	lymph node primary follicle	UBERON:0010395							Naive B Cell			BCL2+, CD1c+, CD10-, CD20+, CD21+, CD23+, CD27-, CD38+, CD45RA+, HLA-DR+, IgD+, IgM+  	CD19, MS4A1, IGHD, FCER2, HLA-DRA, SELL (James et al., 2020)																										Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.						Medeiros et al., 2017	https://www.arppress.org/v/vspfiles/assets/images/Chapter1T25LymphNodes.pdf (ISBN: ISBN 978-1933477-38-1)	AS-CT
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Primary Follicle	lymph node primary follicle	UBERON:0010395							Memory B Cell			CD19+, CD20+, CD27+, CD45RO+, CD79a+, HLA-DR+  	CD19, MS4A1, HLA-DRA  (James et al., 2020)																										Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.						Medeiros et al., 2017	https://www.arppress.org/v/vspfiles/assets/images/Chapter1T25LymphNodes.pdf (ISBN: ISBN 978-1933477-38-1)	AS-CT
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Primary Follicle	lymph node primary follicle	UBERON:0010395							Macrophage			CD11b+, CD68+, CD169+  	CD4, CD14, HLA-DRA, ITGAX (General macrophage signature from James et al., 2020);  Predicted: CD68, SIGLEC1																										Komohara, Y., Ohnishi, K., & Takeya, M. (2017). Possible functions of CD169-positive sinus macrophages in lymph nodes in anti-tumor immune responses. Cancer science, 108(3), 290–295. https://doi.org/10.1111/cas.13137	https://doi.org/10.1111/cas.13137							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Light Zone	William-Mack 2016, Medeiros 2017		Follicular Dendritic Cell	follicular dendritic cell	CL:0000442	CD21+, CD23+, CD32+, CD35+, CXCL13+, HLA-DR+, ICAM-1+, Podoplanin+, VCAM-1+  	CR2, CXCL13, FCER2A, FCGRB, MADCAM1, MFGE8, VCAM1 (Predicted from mouse-Rodda et al., 2018)																									1	Allen CD, Cyster JG. Follicular dendritic cell networks of primary follicles and germinal centers: phenotype and function. Semin Immunol. 2008;20(1):14-25. doi:10.1016/j.smim.2007.12.001	doi: 10.1016/j.smim.2007.12.001		Marsee DK, Pinkus GS, Hornick JL. Podoplanin (D2-40) is a highly effective marker of follicular dendritic cells. Appl Immunohistochem Mol Morphol. 2009 Mar;17(2):102-7. doi: 10.1097/PAI.0b013e318183a8e2. PMID: 18838918.	DOI: 10.1097/PAI.0b013e318183a8e2		Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.	DOI: 10.1016/j.ajpath.2010.12.039	
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Light Zone			Centrocyte			BCL2-, BCL6+, CD10+, CD20+, CD21+, CD27+, CD38+, CXCR5+, IgD-, Ki67+  	BCL6, CD19, CD83, Mki67, MS4A1 (Victora et al., 2012; Milpeid et al., 2018 James et al., 2020)																									1	Medeiros et al., 2017	https://www.arppress.org/v/vspfiles/assets/images/Chapter1T25LymphNodes.pdf (ISBN: ISBN 978-1933477-38-1)	AS-CT	Victora et al., 2012	10.1182/blood-2012-03-415380	AS-CT, CT-B	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT
